"pfil_name","best_annot","dummy_name","GO"
"ABCC8","ABCC8","ABCC8","GO:0071805;GO:0008282;GO:0031004;GO:0098662;GO:0005267;GO:0016887;GO:0055085;GO:0005886;GO:0016020;GO:0042626;GO:0006813;GO:0050796;GO:0019829;GO:0044325;GO:0015272;GO:0008281;GO:0005524"
"ABCC9","ABCC9","ABCC9","GO:0005261;GO:0055085;GO:0071805;GO:0022857;GO:1990573;GO:0005267;GO:0061337;GO:0005886;GO:0044325;GO:0015272;GO:0016020;GO:0098662;GO:0005524;GO:0033198;GO:0042626;GO:1903779;GO:0051607;GO:0031004;GO:0008282;GO:0098655;GO:0030017;GO:0016887;GO:0019829;GO:0015459;GO:0150104;GO:0008281"
"ABCD2","ABCD2","ABCD2","GO:0016887;GO:0005524;GO:0006635;GO:0042760;GO:0016021;GO:0005515;GO:0005777;GO:0005829;GO:0005778;GO:0000038;GO:1900016;GO:0042626;GO:0005324;GO:1990535;GO:1903427;GO:0043217;GO:0032000;GO:0055085;GO:0015910;GO:2001280;GO:0007031;GO:0042803"
"ABCD3","ABCD3","ABCD3","GO:0005515;GO:0005777;GO:0006635;GO:0016887;GO:0007031;GO:0055085;GO:0005829;GO:0016021;GO:0005524;GO:0042760;GO:0014070;GO:0042626;GO:0005778;GO:0015910;GO:0043231;GO:0016020;GO:0042803;GO:0042493;GO:0043621;GO:0005324;GO:0005739;GO:0006633;GO:0005782"
"ABCD4","ABCD4","ABCD4","GO:0009235;GO:1990830;GO:0005778;GO:0016021;GO:0005777;GO:0005765;GO:0007031;GO:0005515;GO:0005524;GO:0005324;GO:0043190;GO:0055085;GO:0042626;GO:0005789;GO:0015910;GO:0042760;GO:0006635;GO:0016887"
"ABCE1","ABCE1","ABCE1","GO:0005829;GO:0016887;GO:0051607;GO:0016020;GO:0005515;GO:0005759;GO:0043024;GO:0005524;GO:0060702;GO:0005737;GO:0006415;GO:0016032;GO:0005739;GO:0005852;GO:0060338;GO:0060698;GO:0005506;GO:0006413;GO:0000054"
"LOC113995601","ABCF1","ABCF1_ah_2","GO:0016020;GO:0005515;GO:0005829;GO:0003723;GO:0006412;GO:0016887;GO:0005635;GO:0055085;GO:0005654;GO:0008135;GO:0006954;GO:0005524"
"LOC113995592","ABCF1","ABCF1_ah_1","GO:0016020;GO:0005515;GO:0005829;GO:0003723;GO:0006412;GO:0016887;GO:0005635;GO:0055085;GO:0005654;GO:0008135;GO:0006954;GO:0005524"
"ABCF2","ABCF2","ABCF2","GO:0005524;GO:0016887;GO:0016020"
"ABCF3","ABCF3","ABCF3","GO:0016020;GO:0016887;GO:0005524;GO:0005515;GO:0045296;GO:0051607"
"ABCG1","ABCG1","ABCG1","GO:0005524;GO:0045542;GO:0000139;GO:0010887;GO:0015485;GO:0005886;GO:0046982;GO:0120020;GO:0032367;GO:0033344;GO:0005794;GO:0010872;GO:0016887;GO:0010745;GO:0042803;GO:0120009;GO:0043691;GO:0034204;GO:0008203;GO:0010033;GO:1902004;GO:0042632;GO:0090554;GO:0034374;GO:0005515;GO:0055037;GO:0019534;GO:0055091;GO:0005739;GO:0005768;GO:0034375;GO:0005789;GO:0140328;GO:0042987;GO:0034041;GO:0016021;GO:0005543;GO:0033700;GO:0034436;GO:0050714;GO:0009897;GO:0043531;GO:0055085;GO:1901998;GO:0033993"
"ABCG2","ABCG2","ABCG2","GO:0055085;GO:0042626;GO:0016324;GO:0032217;GO:0042802;GO:0046415;GO:0045121;GO:0042803;GO:0005886;GO:0005515;GO:0032218;GO:0042910;GO:0031526;GO:0006879;GO:0150104;GO:0098591;GO:0005524;GO:1990962;GO:1990748;GO:0140115;GO:0015143;GO:0031966;GO:0015562;GO:0015225;GO:0097744;GO:0070633;GO:0005654;GO:0016021;GO:0008559;GO:0015878;GO:0015747;GO:0015711;GO:0008514"
"LOC113986708","ABCG2","ABCG2_pp_1","GO:0055085;GO:0042626;GO:0016324;GO:0032217;GO:0042802;GO:0046415;GO:0045121;GO:0042803;GO:0005886;GO:0005515;GO:0032218;GO:0042910;GO:0031526;GO:0006879;GO:0150104;GO:0098591;GO:0005524;GO:1990962;GO:1990748;GO:0140115;GO:0015143;GO:0031966;GO:0015562;GO:0015225;GO:0097744;GO:0070633;GO:0005654;GO:0016021;GO:0008559;GO:0015878;GO:0015747;GO:0015711;GO:0008514"
"ABCG4","ABCG4","ABCG4","GO:1990830;GO:0005524;GO:0055085;GO:0005515;GO:0005886;GO:0042803;GO:0033344;GO:0042802;GO:0042626;GO:0046982;GO:0016021;GO:0016887"
"ABCG5","ABCG5","ABCG5","GO:0043235;GO:0042632;GO:0005524;GO:0070328;GO:0046982;GO:0042626;GO:0016324;GO:0046872;GO:0015918;GO:0038183;GO:0014850;GO:0045796;GO:0055085;GO:0120009;GO:0005887;GO:0005515;GO:0007588;GO:0043190;GO:0010949;GO:0033344;GO:0016887;GO:0010212;GO:0120020;GO:0030299;GO:0042493;GO:0007584;GO:0005886"
"ABCG8","ABCG8","ABCG8","GO:0042632;GO:0043190;GO:0033344;GO:0042626;GO:0042493;GO:0038183;GO:0070328;GO:0043235;GO:0030299;GO:0055085;GO:0045796;GO:0005886;GO:0016887;GO:0046982;GO:0046872;GO:0005524;GO:0005515;GO:0007584;GO:0007588;GO:0120020;GO:0015914;GO:0120009;GO:0014850;GO:0005887;GO:0016324;GO:0015918;GO:0010949"
"ABHD10","ABHD10","ABHD10","GO:0008474;GO:0005739;GO:0019391;GO:0102390;GO:0005829;GO:0052695;GO:0005759;GO:0018215;GO:0004553;GO:0002084"
"ABHD11","ABHD11","ABHD11","GO:0016787;GO:0008150;GO:0005575;GO:0003674;GO:0005739"
"ABHD12","ABHD12","ABHD12","GO:0047372;GO:0007628;GO:0052651;GO:0004620;GO:0046475;GO:0006660;GO:0009395;GO:0018215;GO:0050727;GO:0046464;GO:0008474;GO:0005789;GO:0005886;GO:0004622;GO:0010996;GO:0032839;GO:0016021;GO:0016020;GO:0002084;GO:0032281"
"ABHD12B","ABHD12","ABHD12_pp_1","GO:0047372;GO:0007628;GO:0052651;GO:0004620;GO:0046475;GO:0006660;GO:0009395;GO:0018215;GO:0050727;GO:0046464;GO:0008474;GO:0005789;GO:0005886;GO:0004622;GO:0010996;GO:0032839;GO:0016021;GO:0016020;GO:0002084;GO:0032281"
"ABHD13","ABHD13","ABHD13","GO:0016021;GO:0002084;GO:0018215;GO:0032839;GO:0008474;GO:0016020"
"ABHD14A","ABHD14A","ABHD14A","GO:0016787;GO:0005737;GO:0016021"
