"gene","moduleColor","best_anno","display_gene_ID","MM.black","MM.blue","MM.brown","MM.grey","MM.grey60","MM.lightcyan","MM.lightgreen","MM.magenta","MM.midnightblue","MM.pink","MM.turquoise"
"ATP5PD","pink","ATP5PD","ATP5PD",9.19352658642286e-15,5.039113632646e-27,3.36796165800223e-11,0.917805529171392,0.00516408093786192,0.0174024881154971,1.41633258880728e-07,0.591018665931905,0.0014026795441536,1.29937850474091e-23,2.91604356251417e-05
"ATP5PF","black","ATP5PF","ATP5PF",6.06960139880089e-33,4.5060612641473e-15,0.0297146127859245,0.559437709342846,0.00294040044862965,0.284946130786899,2.54385160796096e-05,2.76997560909542e-07,2.99228905909864e-16,2.61847494511017e-08,0.80766732862363
"ATP5PO","pink","ATP5PO","ATP5PO",6.84038214204394e-18,1.10075512613048e-33,2.08961435557041e-11,0.928307167117094,0.00158433116623945,0.0116131901509557,8.39492150356791e-07,0.402323581238825,0.000364201757724999,2.49896204012327e-26,5.44553275661595e-05
"ATP6AP1","magenta","ATP6AP1","ATP6AP1",0.0975568348205081,0.761201378195314,0.0121450371566271,7.16744722553176e-10,0.562822556095163,3.66965828910668e-07,0.500090917374157,0.000311927294604854,0.000328093956840228,0.245083173412846,0.00170340264206617
"ATP6AP1L","midnightblue","ATP6AP1","ATP6AP1L",1.24696446986314e-11,0.00229956018322037,0.0995603120100419,0.87506787606942,7.5064173632168e-05,0.0114131716168293,0.847303064748457,2.99311681237319e-14,1.02385769270827e-17,0.300452292672947,0.000124518600409098
"ATP6AP2","brown","ATP6AP2","ATP6AP2",0.501792714733237,3.23555765767363e-08,1.5771286686325e-40,0.475262694775609,0.0118443151308927,2.38711450669127e-17,0.0732307958724866,4.42017962506248e-13,3.50272625386005e-05,1.48438643854738e-16,7.62133802488328e-47
"ATP6V0A1","blue","ATP6V0A1","ATP6V0A1",3.89505163541685e-16,2.05208363233892e-54,1.17376987988773e-15,0.650609342615871,4.9754174404726e-05,0.0188777182065238,3.39398216136287e-06,0.883851760682981,0.00250149223072789,1.03591086368428e-37,5.22360832070827e-07
"ATP6V0A2","pink","ATP6V0A2","ATP6V0A2",0.00352612671661065,6.67266309806888e-17,2.20743121496713e-62,0.826527234998986,0.000473728948621456,1.50986556497877e-09,0.0036844955429026,2.26300532811711e-06,0.0825205940835401,1.20921346372433e-32,1.00214041390356e-29
"ATP6V0A4","black","ATP6V0A4","ATP6V0A4",3.70884778237573e-25,9.597950440281e-20,0.00036981861108389,0.739806361524437,3.302718241687e-06,0.728688748787754,0.00614030589125697,0.000421859565025735,6.30935466238092e-10,1.4569861302338e-11,0.249013165779192
"ATP6V0B","blue","ATP6V0B","ATP6V0B",0.00020354089872972,5.68598812429352e-12,7.73670051723818e-12,0.137865448099145,0.0882642560407403,0.0376633190523072,0.000737091698968435,0.0742984986353389,0.635682448179493,2.8571109268151e-13,8.98844513486222e-08
"ATP6V0C","brown","ATP6V0C","ATP6V0C",1.61801469592766e-06,2.31614826507493e-25,5.61140870077869e-30,0.361323439304085,3.96263947670684e-05,6.84427739724985e-08,0.00125010874158129,0.0078692705126235,0.94225691679281,8.12873387813478e-38,8.23937988111172e-16
"ATP6V0D1","blue","ATP6V0D1","ATP6V0D1",8.46350696030512e-07,1.2653924932357e-22,2.86785988799678e-21,0.389364427695249,9.2929793330081e-05,0.00116712196874559,0.00160874444079906,0.0441806600803676,0.501341833561943,4.84847323712283e-28,4.6264944599715e-12
"ATP6V0E1","black","ATP6V0E1","ATP6V0E1",2.43440047163981e-34,1.87801618482576e-36,7.16414254075094e-07,0.975004457868545,0.000152142450194224,0.407856359681223,5.45238915044293e-07,0.00477442594917694,6.15773722039198e-09,1.97685405912744e-19,0.0240580960578347
"ATP6V1A","blue","ATP6V1A","ATP6V1A",1.37429132507812e-07,2.71258136475953e-31,9.97078722279311e-33,0.783655134875364,0.000140373158872358,1.12349672007096e-05,8.9525367406903e-05,0.0157224283860635,0.638905934011504,3.16649602706827e-60,6.51113679284838e-16
"ATP6V1B2","blue","ATP6V1B2","ATP6V1B2",5.93290415574193e-14,3.45062307306506e-42,4.91421056426254e-16,0.357779732201702,4.88633202995101e-05,0.0346749885325079,1.21477154448493e-05,0.898821018870564,0.00587537269795888,1.26848997650411e-34,1.8859717511202e-07
"ATP6V1C1","blue","ATP6V1C1","ATP6V1C1",5.71902728822998e-24,1.33673861724943e-10,0.177577613232118,0.0140033646889703,0.000194421351243967,0.493019054193087,0.00336159180152482,7.25783479180957e-08,3.69045142735126e-13,2.14068199386606e-05,0.324325941400623
"ATP6V1C2","pink","ATP6V1C2","ATP6V1C2",0.00390282875793247,2.19365688893877e-05,8.11638472212478e-05,0.15611419418766,0.0266018163272901,0.134240276680311,0.0805381657800327,0.479275067316012,0.367195586587822,6.79924288676118e-06,0.00215455021797389
"ATP6V1D","turquoise","ATP6V1D","ATP6V1D",0.329268518562366,6.9832769008029e-09,5.12484459985835e-36,0.387458162941931,0.0024930305576666,3.6342521452543e-09,0.128260220544193,8.17553512978479e-11,0.000944244168372876,8.39983808941673e-18,3.36825205741987e-37
"ATP6V1E1","brown","ATP6V1E1","ATP6V1E1",0.00144335557952457,4.28083088303754e-15,1.05447732422372e-27,0.245646118656312,0.00116210358222182,5.28221032616064e-10,0.0018959602237599,0.000105598181400116,0.168425336800613,9.23755940935262e-23,1.82836945552376e-18
"ATP6V1F","midnightblue","ATP6V1F","ATP6V1F",5.2890055933172e-07,0.105424590287007,0.00414439583135806,0.115573229110592,0.0562995881089005,7.67504134990321e-08,0.739500642241059,1.5574103081246e-14,7.87021977630236e-17,0.80672016827,2.19852621620408e-06
"ATP6V1G1","brown","ATP6V1G1","ATP6V1G1",0.11295382953063,5.00264676492837e-09,2.88215085894655e-21,0.525625430515861,0.0141471478578517,5.12187816582203e-08,0.0196097437659592,9.65736207399945e-07,0.011648565476392,6.71704618896504e-14,2.27883025978336e-18
"ATP6V1G3","black","ATP6V1G3","ATP6V1G3",0.000140655990602345,0.006586707828327,0.647880322901188,0.450229978923683,2.40938699916445e-06,0.479911674081621,0.224290404192014,0.005734534944022,0.000373907796286892,0.0666450493740999,0.449095440145142
"ATP6V1H","midnightblue","ATP6V1H","ATP6V1H",7.87702898287715e-18,6.40521809007473e-05,0.214580408756764,0.486162791580769,0.106043672443718,0.0120914979702836,0.00274760735275088,9.48284689613331e-17,1.45655861156879e-21,0.0833184213985983,0.000222251081491735
"ATP7A","brown","ATP7A","ATP7A",0.351956875766494,1.72993181506842e-07,2.50119080052394e-23,0.627608557823211,0.453085975902242,4.59710887715385e-07,0.000411883811098208,3.83179156061057e-09,0.00152507054499507,4.9056885405559e-14,8.48509937828509e-24
"ATP7B","black","ATP7B","ATP7B",2.61362584257444e-24,3.10183185082473e-09,0.692178300311437,0.718365329158676,0.00325595009003351,0.00641686244772324,0.00332114065950464,4.84419961547532e-12,1.12004641148437e-21,0.000540549807025879,0.0419209056523339
"ATP8A1","blue","ATP8A1","ATP8A1",3.35792245744427e-11,1.03047848211738e-34,2.63331804269395e-20,0.982767709913902,0.00164221118864557,6.14762098828825e-05,1.39213322967642e-06,0.293831626828097,0.0979037022870322,2.41906526462002e-40,6.67823287784055e-10
