"gene","moduleColor","best_anno","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"ABCG2","turquoise","ABCG2","ABCG2",-0.0193739892390054,0.873518626511702,-0.047108301251688,0.698567621469733,-0.0682628321246443,0.574456792945218
"ABCG4","blue","ABCG4","ABCG4",0.0080321829932722,0.947383328423183,0.0304744176867698,0.802251309381741,-0.015385664265036,0.899403147801265
"ABHD10","black","ABHD10","ABHD10",0.0261355411187626,0.829950500196434,-0.0779529923866234,0.52123986902238,-0.0933944830992341,0.441888688799032
"ABHD11","turquoise","ABHD11","ABHD11",0.226812197154161,0.0590035830962954,-0.0288949008315404,0.812308692150902,-0.0565602257904377,0.641882188752791
"ABHD12","brown","ABHD12","ABHD12",0.0326546145477173,0.788421945038275,0.0464343824536874,0.702677407351428,-0.0125518339109253,0.917860334974455
"ABHD12B","brown","ABHD12","ABHD12B",0.0137785117017837,0.909864894113758,0.0262736257164551,0.829065591558578,-0.0950877957024074,0.433619186810796
"ABHD13","magenta","ABHD13","ABHD13",-0.0499729460229599,0.681195525705625,0.0507250908418501,0.676661108950341,0.122172456389622,0.313673541551594
"ABHD14A","turquoise","ABHD14A","ABHD14A",0.0290559372936384,0.811281895387222,-0.0796319919976842,0.512278091816431,-0.00108600149527651,0.992880939340445
"ABHD15","blue","ABHD15","ABHD15",0.0254471719819794,0.834365007164921,-0.0193750330102721,0.873511868444427,-0.112231028831497,0.354959750428056
"ABHD17A","turquoise","ABHD17A","ABHD17A",-0.00109359510629694,0.992831162281835,-0.0215882491542256,0.859203086822004,-0.0248430798544098,0.838243260507584
"ABHD17B","lightcyan","ABHD17B","ABHD17B",-0.0152079513483261,0.900559161439177,0.0589128375118028,0.628069180898317,0.177835232772419,0.14079034906606
"ABHD17C","magenta","ABHD17C","ABHD17C",-0.00754195081617305,0.950590560250286,-0.0585465209035613,0.630211757387432,-0.065610783886266,0.589447262866892
"ABHD18","midnightblue","ABHD18","ABHD18",-0.0182362541182061,0.880890340867078,0.100511839647104,0.40772706189537,0.0834570674751929,0.492158892388828
"ABHD2","magenta","ABHD2","ABHD2",-0.137328730226033,0.25693406172258,-0.0768979921437368,0.526911090990949,0.165924591311285,0.16982527037365
"ABHD3","blue","ABHD3","ABHD3",-0.0457028988815341,0.707147876676843,0.0113099594227263,0.92596310611098,0.008043835807041,0.947307102496347
"ABHD5","magenta","ABHD5","ABHD5",-0.0752180983760247,0.536004576292822,-0.055403589185177,0.648718279152755,-0.0374545103798547,0.758209743540538
"ABHD6","magenta","ABHD6","ABHD6",-0.0248630721346296,0.838114848643636,-0.0152262257090852,0.900440278080973,-0.0216081582027324,0.859074569592497
"ABHD8","blue","ABHD8","ABHD8",0.0117227581792831,0.923268872863252,0.0384645837355074,0.751896044776899,0.00361252266752619,0.976321938504068
"ABI1","brown","ABI1","ABI1",0.0137410227127834,0.910109117885004,0.0261644633456071,0.829765135968603,-0.00987299256339359,0.935348108657318
"ABI2","midnightblue","ABI2","ABI2",-0.0276350523601905,0.820352470681955,-0.00425645637258763,0.972102868729343,-0.0637341584423563,0.600160084909002
"ABI3BP","black","ABI3BP","ABI3BP",-0.223810328714508,0.0625301169136157,-0.139225536822539,0.250358425238493,-0.0167534796977196,0.890512736937746
"ABL1","pink","ABL1","ABL1",-0.00618894866260548,0.959446174280744,-0.019265656841121,0.874220091266832,0.00350851452243461,0.977003466270256
"ABL2","turquoise","ABL2","ABL2",0.0493254578900242,0.685108052960943,0.0329835594482505,0.786340926076443,0.0108866350294065,0.928726899723592
"ABLIM1","brown","ABLIM1","ABLIM1",-0.137942172154927,0.254794751040754,-0.0461073971371473,0.704674549654199,-0.0288364641696441,0.812681372710653
"ABLIM2","brown","ABLIM2","ABLIM2",0.0059812606627307,0.960805985328198,-0.0103458861910441,0.932258550934892,-0.0073573797698263,0.951798279647138
"ABLIM3","blue","ABLIM3","ABLIM3",0.0277824837237721,0.819410190647286,0.0310290490509059,0.798727255752882,0.0236546614703129,0.845884010721263
