,PFT1_PVN_run2,PFT10_PVN_run2,PFT11_PVN_run2,PFT12_PVN_run2,PFT2_PVN_run2,PFT3_PVN_run2,PFT4_PVN_run2,PFT5_PVN_run2,PFT6_PVN_run2,PFT7_PVN_run2,PFT8_PVN_run2,PFT9_PVN_run2
LOC113987812,9263.59817879022,9474.95601099276,9160.47677025318,10362.0371860815,8629.17437740035,8603.37506902826,8713.88340838708,8786.69214256202,9897.03765093945,10230.2319178233,9151.43354217339,9319.96605767381
TSPAN15,113.936271117078,97.1790360101822,133.434831727694,118.039508355637,136.937581672613,116.810293193572,108.32463237775,116.338003813411,107.020153254164,96.5891723860378,86.5247419682325,134.517107527212
COL13A1,87.8661073868991,34.4175752536062,38.6258723422271,30.5274590574923,31.6009803859876,48.5059692075003,30.2059071053341,26.440455412139,31.6407409621007,35.9640535479928,46.146529049724,70.3627947065415
LOC113987807,57.9336971781752,43.5281098795608,44.7708974875814,44.7736066176553,44.2413725403826,44.546298251786,39.580154138024,51.8232926077924,77.2406323486577,45.2119530317624,31.7257387216853,66.2238067826273
LOC113987817,191.181200687978,159.940496766758,201.030108326591,212.674631433863,239.11408492064,176.205357529287,172.902778602947,163.930823555262,188.913835744307,172.627457030365,175.933642002073,162.455276013633
AIFM2,92.6939154850803,100.2158808855,66.7174158638468,152.637295287461,85.3226470421665,40.5866272960717,71.8692272506226,46.5352015253646,102.367103112679,78.0933734184987,96.138602186925,62.0848188587131
CHST3,61.7959436567202,69.8474321323185,80.7631876246567,60.0373361464014,56.8817646947777,53.4555579021432,58.3286482034038,59.2266201231913,63.2814819242015,68.8454739347291,37.4940548529008,65.1890598016487
PSAP,59099.1300530762,62610.6307944352,57403.3134649598,63864.4619302424,67217.3920130214,54517.7396360135,60111.8383056222,60493.646746541,58211.518490039,57153.0463540831,61201.8341521965,59405.8589249596
CDH23,1187.64079215259,443.379351796456,760.227396553833,516.931640040202,554.070522767649,654.33562543179,540.581578885118,485.446761366871,469.027454261729,575.424856767885,424.932621666209,721.21864574205
VSIR,712.584475291555,579.025089560669,725.990827886859,756.063402657225,568.817646947777,667.204556037861,647.864628259235,595.439055881369,765.892053288497,799.429533152526,539.337558268649,650.855851035509
CUNH10orf105,221.113610896702,183.222974144198,147.480603488503,234.043852774107,218.046764663314,126.709470582858,197.90077069012,184.025569668487,227.068846904488,226.059765158812,141.32374521478,226.609588834303
SLC29A3,191.181200687978,148.805398890592,179.083589950326,194.358155999367,211.726568586117,152.447331795001,148.946369519406,134.317513493666,202.872986168764,193.178344772076,140.362359192911,139.690842432104
UNC5B,776.311542187548,798.690202208685,902.440835632033,803.889755180629,873.240424666124,493.96895172536,706.193276462639,676.875658550757,785.434863882736,742.914591862823,677.777145417821,681.898260464865
PCBD1,1037.01317948934,888.783266843125,681.219930399278,1011.47647677158,765.797091353766,842.419995828219,786.395167742319,876.765501466528,1172.56863565432,739.831958701566,872.938507857279,760.539031019235
SGPL1,1559.38201571255,1360.50650414255,1111.37169057408,1171.23684583912,2434.32885573391,1049.31280326429,1275.93917944946,1234.24045863865,2168.3213659322,1101.52758295567,1337.28795642013,1393.80418337811
TFAM,403.604757007954,388.716144040729,384.50300195217,356.153689004076,391.852156786246,375.178823053931,409.342120427459,364.878284687518,406.676582365824,363.75071302827,373.979162507138,420.107274277292
UBE2D1,375.603470038503,554.730330558123,345.877129609943,318.503156166503,717.342254761919,699.871841422504,656.197292288293,623.994747726479,368.521571205644,330.869292641534,607.595965821366,533.929442184933
CISD1,6748.31015963778,8140.76882910297,6836.7794045742,6458.59275459678,7282.97261295728,7951.01927907433,6778.62218763843,7733.3043989424,6581.27412011695,6005.9969425148,7147.90507259787,7128.37195196124
IPMK,456.710646087948,486.907461676017,596.067439099368,547.459099097694,638.33980379695,568.212782145003,520.791501816106,525.636253593323,525.794665987851,436.706364511341,539.337558268649,474.948864269155
LOC113987836,19.3112323927251,2.02456325021213,5.2671644103037,39.6856967747399,41.0812745017839,2.96975321678573,31.2474901089663,40.1894922264512,1.86122005659416,7.19281070959856,5.7683161312155,84.8492524402412
LOC113987842,29.9324102087239,26.3193222527577,18.4350754360629,24.4219672459938,30.5476143731213,26.7277789510716,24.9979920871731,35.959019360509,22.3346406791299,21.5784321287957,33.6485107654238,25.8686745244638
LOC113987847,186.353392589797,195.37035364547,139.579856873048,132.2856559158,172.752026110066,208.87264291393,216.6492647555,140.663222792579,126.562963848403,131.525681546945,160.551465652165,167.629010918525
OSGEP,441.261660173768,328.991528159471,293.205485506906,295.098770889092,303.369411705481,323.703100629645,332.264978158675,290.845009533529,294.072768941877,312.373493673995,289.377192582644,355.952961456622
APEX1,444.158345032677,487.919743301123,397.670912977929,445.700902239387,398.172352863444,385.078000443217,406.217371416562,407.18301334694,443.900983497707,489.111128252702,397.052427032,391.134358809892
PIP4P1,449.951714750494,380.61789103988,378.357976806815,400.927295621732,378.158398618985,512.777388765003,420.799533467413,369.10875755346,407.607192394121,423.34828747923,368.210846375923,408.725057486528
LOC113987844,599.613765794114,559.791738683654,499.5027582438,423.314098930559,511.935882252999,466.25125503536,439.548027532793,472.755342769045,495.084535054047,389.439322705408,310.527685063768,394.238599752828
LOC113987849,2.89668485890876,7.08597137574245,15.8014932309111,17.2988934659123,9.48029411579628,5.93950643357146,8.33266402905769,2.11523643297112,8.37549025467372,9.24789948376958,8.65247419682325,5.17373490489276
LOC113987855,349.533306308324,380.61789103988,342.36568666974,395.839385778816,297.049215628283,312.81400550143,299.975905046077,338.437829275379,382.4807216301,352.44772477033,363.403916266577,338.362262779986
SNTG2,67.5893133745378,134.633456139107,43.0151760174802,84.4593033923952,96.9096731836953,109.880869021072,106.241466370486,58.1690019067057,117.256863565432,56.514941289703,126.902954886741,63.1195658396916
LOC113987861,243.321528148336,155.891370266334,180.839311420427,133.303237884383,166.431830032868,173.235604312501,205.191851715546,148.066550307978,173.093465263257,120.222693289005,199.006906526935,196.601926385925
LOC113987862,92.6939154850803,68.8351505072124,52.671644103037,22.3868033088277,22.1206862701913,173.235604312501,77.0771422687836,16.9218914637689,115.395643508838,48.2945861930189,43.2623709841163,32.0771564103351
LOC113987867,57.9336971781752,45.5526731297729,34.236568666974,21.3692213402446,24.2274182959238,62.3648175525004,38.5385711343918,40.1894922264512,35.3631810752891,11.3029882579406,32.6871247435545,40.3551322581635
LOC113987883,3453.81391343888,3152.24498058029,2864.45957847016,3124.99422551862,3591.97810387392,2652.97954032859,3085.16885675861,2968.73433367496,3400.44904339753,3006.5948766122,3010.09963447262,3369.13617006616
THYN1,563.887985867572,441.354788546244,501.258479713902,548.476681066277,386.585326721915,454.372242168217,495.793509728932,407.18301334694,637.4678693835,602.141010832108,388.399952835177,389.064864847935
ACAD8,396.8458256705,284.451136654804,261.602499045084,303.239426637756,349.717516271596,211.842396130716,304.142237060606,300.363573481899,277.32178843253,233.252575868411,264.381156014044,252.478263358767
