,PFT1_GON_run1,PFT10_GON_run1,PFT11_GON_run1,PFT12_GON_run1,PFT2_GON_run1,PFT3_GON_run1,PFT4_GON_run1,PFT5_GON_run1,PFT6_GON_run1,PFT7_GON_run1,PFT8_GON_run1,PFT9_GON_run1
PTEN,2214.70071343714,2663.79712173994,2037.99495149555,2088.22657469317,2215.75494177782,2151.59138622012,1923.09161115813,1899.68650124174,1281.93608893984,2369.05984826329,2154.38059421597,2124.20783335059
ATAD1,2576.51857952127,2766.73073417252,2772.32283041111,2207.35359405486,2523.18771061368,2578.51464747011,2775.66895188668,2214.5909108784,3487.55291339258,2913.87331485203,2549.78343007102,2487.46971248782
PAPSS2,203.327042900302,136.20508311785,153.875457747147,189.201736633274,159.313899816905,183.330863677928,165.470631810038,208.35780487238,186.567484372494,117.16418636317,265.484761216965,202.027996953326
MINPP1,672.543295747154,698.700884390805,601.824012522177,624.832895671614,753.511688323199,663.725626833978,678.026003514304,587.979411476982,731.390322171925,549.500034043266,424.775617947145,607.055279306868
SGMS1,497.369228017662,385.741113257423,604.388603484629,519.720819764239,554.584602605874,578.001472984577,630.604541958988,482.222040822062,526.509465100291,442.880624452782,594.23397617074,539.065088024499
LOC113982682,153.277309263305,135.165349658935,197.473504108839,168.179321451799,190.315523565059,203.700959642142,159.416828207232,173.631504060317,248.375117232094,187.462698181072,170.588080611752,160.262593737013
LOC113982683,34.4091918754358,31.1920037674466,29.0653642411279,21.0224151814748,23.2512178111158,31.4038979448302,40.3586906853752,14.2062139685714,34.3375738108885,31.6343303180558,25.9836149276179,23.3109227253837
LOC113982684,444.191386028353,579.131536615592,447.093691120878,593.299272899401,634.67213062194,660.330610839943,447.981466607665,554.042344774283,541.389080418342,533.097047952422,624.736480650987,574.031472112574
LOC113982686,4.17081113641646,12.4768015069787,67.5342286779147,38.5410944993706,2.58346864567954,104.396741816598,5.0448363356719,41.829407796349,18.3133726991405,15.2313442272121,2.2594447763146,26.2247880660567
LOC113982687,22.9394612502905,79.0197428775315,76.9377288735737,70.0747172715828,22.3900615958893,39.8914379299194,31.2779852811658,22.8877891715872,26.3254732550145,24.6044791362657,21.4647253749887,26.2247880660567
