"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","n_p005","n_q01","Test","fdrtool"
"PRKCZ",2650.84001185633,-0.284026147644402,0.0910044910910976,9.80242706499888,0.00174281701868125,0.313050944014415,"PRKCZ","PRKCZ","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"USP43",234.484518607986,0.743742756475025,0.238093375230221,9.86650739808756,0.00168314717332897,0.313050944014415,"USP4","USP43","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"NADK2",1436.27898074999,-0.398491776902661,0.128692333322411,9.75459314495231,0.00178875225950728,0.316976014708665,"NADK2","NADK2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"PTPRU",3390.88985585593,0.427456063580787,0.134633316712771,9.73675957859334,0.00180619028554191,0.316976014708665,"PTPRU","PTPRU","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"AKAP12",2687.99823880342,0.38954633845308,0.126626537171455,9.67376278051313,0.00186918099002853,0.321100364163492,"AKAP12","AKAP12","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"SCEL",37.8984784547104,2.1287876528905,0.69768390317747,9.67123597061533,0.00187175349820217,0.321100364163492,"SCEL","SCEL","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC114002246",400.165707328998,0.692275593690997,0.224549987908073,9.6007770640479,0.00194495045727479,0.326324215183204,"SEPHS1","LOC114002246 (SEPHS1)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"MPRIP",8180.36450242369,0.418639352952423,0.132711358789549,9.61608793384454,0.00192880165317945,0.326324215183204,"MPRIP","MPRIP","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"FBXO32",698.643305936802,-0.804874456259523,0.259644210696998,9.55184283710048,0.0019974877713083,0.331496122742773,"FBXO32","FBXO32","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"HSPA12A",1692.09704069174,-0.666963530683128,0.222265220460453,9.48514072897405,0.00207142724424934,0.334642035130822,"HSPA12A","HSPA12A","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"KIAA0556",781.373701226005,0.522642712211445,0.167908652269196,9.45641814872505,0.0021041154946659,0.334642035130822,"KIAA0556","KIAA0556","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113996763",2260.52052665016,0.389539029794957,0.126454369776099,9.48296674773118,0.00207388326922967,0.334642035130822,"WDR90","LOC113996763 (WDR90)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"TLL2",172.405449345406,0.886709858044701,0.288425045377745,9.47094716313146,0.00208751562238369,0.334642035130822,"TLL2","TLL2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113990352",4545.13814518249,0.327172676579526,0.105360340338027,9.41544468521309,0.00215165376129404,0.33867473842719,"TAF1","LOC113990352 (TAF1)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CCDC187",156.482646782144,1.37493458644076,0.467030016357886,9.11363878110693,0.00253710679990123,0.348406391526501,"CCDC187","CCDC187","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CDC123",934.083026292207,-0.356913057106089,0.118151537953136,9.19088919260955,0.00243222706332568,0.348406391526501,"CDC123","CDC123","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CUNH8orf34",563.128741959188,0.545601653028302,0.177481054293829,9.24631602680566,0.00235969652944849,0.348406391526501,"CUNH8orf34","CUNH8orf34","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"GANC",631.817945487594,-0.858985156945536,0.289188868400712,9.27594647422109,0.00232182680675971,0.348406391526501,"GANC","GANC","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"GDF1",1922.12601858594,0.264936522408205,0.0873139566632436,9.1355603700742,0.00250688667221697,0.348406391526501,"GDF3","GDF1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"GSTK1",392.502810676804,-0.538658842691208,0.178576020773862,9.06786231996638,0.00260141004938571,0.348406391526501,"GSTK1","GSTK1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"HACD2",1568.34837701786,-0.356100288198028,0.118565071754474,9.1224399008822,0.00252492979108401,0.348406391526501,"HACD2","HACD2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"HIPK2",3241.16313395935,0.483649489482705,0.157142483969446,9.11494974541637,0.00253528921139219,0.348406391526501,"HIPK2","HIPK2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LENG8",4992.72812572504,0.549638812952886,0.178043978476847,9.15241220939879,0.00248390403773465,0.348406391526501,"LENG8","LENG8","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113994886",755.720491770341,-0.617190853513464,0.200970233844447,9.32145736481205,0.00226485782184423,0.348406391526501,"CYB5D2","LOC113994886 (CYB5D2)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113996953",13021.4545914653,-0.36891070191287,0.121629933641139,9.31135318185937,0.00227738219380036,0.348406391526501,"SLC6A11","LOC113996953 (SLC6A11)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LRRIQ1",356.585871767622,0.909852463348535,0.307184089019473,9.09793131661834,0.00255898757775373,0.348406391526501,"LRRIQ1","LRRIQ1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"PCDH17",8294.97972890005,0.372761165743113,0.121944392285451,9.07258387516802,0.00259470175119802,0.348406391526501,"PCDH17","PCDH17","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"PNRC2",3558.19462427461,-0.421297886910942,0.13717868342564,9.23413710593411,0.00237544319849139,0.348406391526501,"PNRC2","PNRC2","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"SUB1",2428.39308008841,-0.298326413456985,0.0989685667562414,9.21648690147674,0.00239845337715871,0.348406391526501,"SUB1","SUB1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"VIP",3497.11290887951,0.623797949070598,0.210735173691544,9.17607904141801,0.00245198760401704,0.348406391526501,"VIP","VIP","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"ZBTB20",249.994989689199,1.13040733328943,0.357992951890309,9.10286337120091,0.00255209658606704,0.348406391526501,"ZBTB20","ZBTB20","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"B4GALT4",313.287440123244,-0.521302762294931,0.173505441899909,9.02756704374553,0.00265938197321848,0.349711697428157,"B4GALT4","B4GALT4","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CUNH15orf62",386.408783035242,-1.26221606446369,0.408739269699789,9.03885353477031,0.00264301335648588,0.349711697428157,"CUNH15orf62","CUNH15orf62","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113995103",103.71103734862,0.983643517055643,0.327611378458955,9.01353850849453,0.00267987088021315,0.349711697428157,"DM5L","LOC113995103 (DM5L)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"IMPA1",1466.49430602315,-0.48686455020583,0.164288658439879,8.96471876549271,0.0027524306433253,0.350200925519089,"IMPA1","IMPA1","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113990401",12.1873423307342,3.40456410981896,1.14381636029076,8.97929459510077,0.00273056041741243,0.350200925519089,"LOC113990401","LOC113990401","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"LOC113991506",226.25674892419,0.572464470708017,0.190620751183974,8.98812384098071,0.00271739851676869,0.350200925519089,"SLC22A23","LOC113991506 (SLC22A23)","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"CUNH22orf15",421.302797732232,0.808363911682426,0.27255536991721,8.89776591336617,0.00285519775765622,0.35534979926902,"CUNH22orf15","CUNH22orf15","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
"GABRR3",18.5145109479951,-4.05130204597245,1.29135151100715,8.88661229236531,0.00287269251749338,0.35534979926902,"GABRR3","GABRR3","POM","~ Status + mean_T + Status:mean_T",1012,24,"LRT_full_interaction","no"
