,PFT1_AH_run2,PFT10_AH_run2,PFT11_AH_run2,PFT12_AH_run2,PFT2_AH_run2,PFT3_AH_run2,PFT4_AH_run2,PFT5_AH_run2,PFT7_AH_run2,PFT8_AH_run2,PFT9_AH_run2
ANKFN1,1326.77635771089,874.527993220181,1303.66846387178,900.959989447696,843.360354140391,987.114628462942,795.828817497833,557.83983008707,577.633672761449,781.140880729311,794.750720806584
NOG,92.6694030906193,79.7815011358762,94.9273153304696,102.050484241648,81.746061197869,104.594927519252,56.8449155355595,70.0034296579853,58.0801681935643,52.4960269307333,76.3603726691535
DGKE,2229.41198589163,1644.72633110883,2038.82778370886,1541.44826673576,1630.06502230206,2018.90000722056,1855.38076772621,1502.88613046987,1509.02836997461,1771.21594864294,1615.62472699998
LOC114003038,27.6226105366269,22.5024746793497,99.1463071229349,41.7921030703894,33.1840446446795,25.0592013848208,18.6376772247736,14.2194466492783,8.44802446451844,25.198092926752,9.04267571082081
TRIM25,102.470974571358,63.41606500544,90.7083235380043,117.601034221328,103.598968646804,76.2671346494547,79.2101282052879,68.9096260695793,74.9762171226012,120.740861940686,77.3651144148002
COIL,461.564911547508,474.597647782648,548.468933020491,457.769315026823,398.208535736154,443.438911461829,436.121647059703,333.610094463836,462.529339432385,465.114798606297,498.351905840791
SCPEP1,376.914976032038,357.99391535329,341.738335189691,443.190674420873,356.930821665943,369.350837802359,379.276731524143,394.863095414573,292.512847083951,342.274095588381,476.247587436562
RAB11FIP4,3888.55072199483,3061.35939614971,4112.46224970557,3163.5650114911,3100.68475692115,3319.79941824126,3370.62392610031,2571.53223634255,2977.92862374275,3290.45096801836,3338.75682078417
LOC114003104,65.0467925539924,35.799391535329,37.9709261321878,31.1010999593595,40.4683471276579,43.5812197996884,26.0927481146831,50.3149650666769,51.7441498451755,38.8470599287426,29.1375106237559
UTP6,158.607247597406,190.24819501632,185.635638868474,188.550418503617,215.29160671914,195.025958603605,158.420256410576,168.445752614527,186.912541277471,170.087127255576,151.71600359266
SUZ12,433.942301010881,382.542069548945,467.253341015534,404.314299471674,479.954596934023,568.734918385933,414.688318251213,520.650508081266,434.017256864635,560.657567620231,483.28077965609
CRLF3,289.591884658185,337.537120190245,338.574091345342,314.898637088515,311.606272882966,343.202105922546,302.862254902571,368.611809292829,378.0490947872,335.974572356693,326.541067335196
ATAD5,154.151987833434,151.380284206534,187.745134764707,155.505499796798,157.017186855313,174.324879198754,147.237650075712,159.695323907279,153.120443419397,176.386650487264,163.772904540421
ADAP2,11.5836753863274,29.6623529864155,27.4234466510246,16.5224593534097,13.7592380234037,18.5220184148676,13.0463740573415,21.8760717681204,21.1200611612961,25.198092926752,22.1043184042286
RNF135,89.9962472322361,121.717931220119,119.186518137145,88.4437530094287,112.502005014889,115.490232469174,130.463740573415,155.320109553655,146.784425071008,121.790782479301,109.516850275496
RHOT1,1218.95907142276,1396.17626987783,1243.54783082915,1130.33060164797,978.524633546769,1291.09363656577,1294.38668326053,1332.25277067853,1002.1469021035,1288.25250088019,1294.10736839302
RHBDL3,580.965873221959,356.971075595138,546.359437124258,455.825496279363,488.048266359555,368.261307307367,335.478190045925,282.201325808753,364.321055032358,388.470599287426,384.816088582708
CUNH17orf75,1601.22035917157,1613.01829860611,1615.87385651422,1298.47092330326,1193.00687332336,1407.67339952993,1094.03165309421,1362.8792711539,1237.63558405195,1368.04646181491,1431.75698754663
ZNF207,4027.55482663076,3058.29087687525,3551.33634130768,3156.76164587499,3600.873527419,3950.63757484175,3494.56447964505,3659.86680680654,2716.03986534268,3290.45096801836,3268.4248985889
LOC114003071,88.2141433266472,122.740770978271,78.0513481606083,133.151584201008,142.448581889356,101.326336034275,75.4825927603331,82.0352691304515,126.720366967777,132.289987865448,104.493141547263
ERN1,392.953911182338,405.044544228294,391.311488751158,447.078311915793,420.061443185089,373.708959782328,350.388331825744,383.925059530513,443.521284387218,371.671870669591,358.692803195892
TEX2,2053.87475119113,2127.5066969567,1756.15533361369,2278.15557202309,2259.75250360842,2164.89709354952,2739.73855204172,1966.65885195402,2251.39851979417,2320.32439033841,2012.49771653045
PECAM1,188.903013992416,319.126004543505,286.891441887641,237.145887190116,225.813376972331,318.142904537725,271.178203620456,328.141076521806,441.409278271089,228.882677417997,253.194919902983
MILR1,4.45525976397208,3.06851927445678,13.7117233255123,4.85954686864993,12.1405041382974,10.8953049499221,3.72753544495472,10.9380358840602,4.22401223225922,9.44928484753198,8.03793396517405
POLG2,96.233610901797,124.786450494576,119.186518137145,107.881940484028,135.973646348931,104.594927519252,134.19127601837,123.59980548988,92.9282691097029,120.740861940686,145.68755311878
DDX5,13506.5655004578,11649.1220055961,14109.3633019521,12727.1532489942,12304.8056276357,12516.5263264705,10887.1991508515,11563.6915366284,11914.8825041452,12417.4102101956,12132.2565786846
CEP95,474.930690839424,339.58279970655,358.614302359552,324.617730825815,612.690775512741,371.529898792343,353.18398340946,324.859665756588,357.985036683969,359.072824206215,334.57900130037
SMURF2,346.619209637028,282.303773250023,289.000937783874,304.207633977485,397.399168793601,421.648301561985,363.434705883086,318.296844226152,302.016874606534,270.879498962584,322.522100352609
BPTF,1698.34502202616,1538.350996261,1911.20328198679,1923.40865061164,1840.50042736588,1711.65240763276,1780.83005882712,1501.79232688147,1641.02875223271,1813.21277018753,1679.92819872138
CUNH17orf58,126.529377296807,130.923489043489,151.883704528751,188.550418503617,174.823259591482,112.221640984198,151.897069381905,145.475877258001,206.976599380702,76.6441993188705,165.782388031715
NOL11,607.697431805792,559.493347709285,517.881242525118,455.825496279363,520.422944061681,507.72121066637,521.854962293661,577.528294678379,504.769461754977,521.810507691489,585.764437712059
PITPNC1,2389.80133739462,2485.50061230999,2345.75943661072,2534.7396466878,2693.57318481691,2749.97496936034,2993.21096229864,2795.76197196579,2608.32755342007,2816.93680510315,2495.77849618654
PSMD12,1393.60525417047,1355.26267955174,1324.76342283411,1421.90341376697,1447.9574602276,1475.22429021945,1483.55910709198,1460.22779052204,1304.16377671003,1576.98064899923,1359.41558186006
LOC114003100,44.5525976397208,30.6851927445678,28.4781945991409,33.0449187068195,33.1840446446795,21.7906098998442,30.7521674208765,53.596375831895,31.6800917419442,30.4476956198253,35.1659610976365
HELZ,688.783159510084,561.53902722559,648.669988091542,708.521933449159,710.624175561673,604.689424720676,629.953490197348,512.993882962424,638.881850129207,608.953912396506,599.830822151113
CACNG4,1848.93280204841,1486.18616859523,1735.06037465136,1573.52127606885,1495.71010983824,1578.72968724371,1258.04321267222,1155.05658935676,1366.46795713586,1614.77778838935,1724.13683552983
CACNG5,104.253078476947,155.471643239143,180.361899127892,202.157149735837,203.151102580843,131.833189894057,247.881107089489,125.787412666692,160.51246482585,234.13228011107,137.649619153606
PRKCA,1796.36073683354,2566.30495320402,1890.10832302446,1893.27946002601,2230.61529367651,2084.2718369201,2173.1531644086,2709.35148848171,2053.92594793605,3019.57146905578,2245.5978015205
APOH,867.884602021762,5086.58211729118,1153.89425523926,5101.55230270869,6393.99884616995,4241.54221700467,7915.42151736135,6206.24156061576,9921.14873051885,1666.22389478147,5501.96579916164
LOC114003070,14.2568312447107,13.2969168559794,21.0949589623266,22.3539155957897,33.1840446446795,6.53718296995326,8.38695475114813,27.3450897101505,10.5600305806481,11.5491259247613,20.0948349129351
CEP112,149.696728069462,170.814239611427,255.249003444152,207.988605978217,157.017186855313,249.502483353216,197.5593785826,190.321824382648,217.53662996135,158.538001330814,186.881964690297
AXIN2,618.390055239325,434.70689721471,562.180656346003,590.920899227831,603.787739144656,605.778955215668,605.724509805143,446.271864069656,518.497501509819,400.019725212187,614.901948335815
