,PFT1_LS_run2,PFT10_LS_run2,PFT11_LS_run2,PFT12_LS_run2,PFT2_LS_run2,PFT3_LS_run2,PFT4_LS_run2,PFT5_LS_run2,PFT6_LS_run2,PFT7_LS_run2,PFT8_LS_run2,PFT9_LS_run2
LOC113999036,115.459524132857,43.167531675719,67.3380748149422,60.2436054024651,95.6378588891362,94.1259363229224,57.5171000185325,82.2596782690665,63.1660034671359,32.4243236395736,62.3032608588594,51.7732194117404
FZR1,1135.52853092131,1043.97267394699,916.986136450537,1128.64550529516,1343.18059595409,1182.51419030934,1033.48186065046,1063.18422881095,1030.70875498755,1144.98392852244,988.940648553323,1058.92412828075
SMIM24,7.41483182504589,26.1277165405668,16.8345187037356,13.524074682186,13.8143573950975,10.9661285036414,5.47781904938405,7.07610135647884,9.02371478101941,11.1458612511034,8.90046583697991,10.5164351930098
LOC113999012,82.6224117647971,87.4710510271148,59.4159483661255,60.2436054024651,87.1367158767686,78.5905876094304,67.5597682757366,67.222962886549,56.1475586374541,79.0342888714607,80.1041925328192,85.7493946506951
DOHH,370.741591252294,435.08327978422,410.960309532368,383.591936440186,404.86693596401,372.848369123809,353.319328685271,344.959941128344,420.104054805237,424.555987655667,377.775327747369,416.612624953849
NFIC,524.334536199674,432.811304432867,322.826652789282,497.931840571395,752.351156594538,658.881554260457,441.87740331698,474.983303553642,421.106689780906,597.823467104638,423.266597580822,389.91705869467
LOC113999059,370.741591252294,393.051735784178,544.646193356151,373.756245762232,270.973933519219,460.577397152941,453.746011257312,428.98864473653,363.956496167783,273.580230708902,476.669392602702,284.752706764573
LOC113999057,1690.58165611046,1684.66972302872,2208.29274760766,1584.77566048526,1245.41745131186,1802.10045076508,1626.91225766706,1937.96725900564,1626.27393053483,1085.20158181198,1919.533798842,1271.67970180087
LOC113999067,61.4371779789517,76.1111742703466,106.948707059026,56.5552213982325,76.510287111309,103.264376742624,85.8191651070168,80.4906529299468,73.1923532238241,103.352531601141,59.3364389131994,80.086698777536
LOC113999068,4.23704675716908,12.495864432445,8.91239225491883,8.6062293432093,7.43850013582171,6.39690829379084,13.6945476234601,11.4986647042781,10.0263497566882,11.1458612511034,8.90046583697991,6.47165242646756
MMS22L,174.778178733225,132.910558054187,169.335452843458,153.682666843023,160.45907435844,168.147303722502,300.367077874559,226.435243407323,162.426866058349,158.068577742921,196.799189062111,199.812268667186
LOC113999075,170.541131976055,218.109633729949,282.225754739096,175.812970868419,167.897574494261,145.301202673249,200.853365144082,223.781705398643,188.495375425739,153.002277174238,222.511645924498,214.373486626738
LOC113999070,112.281739064981,126.094632000127,164.384123812947,95.8979841100465,117.953359296601,119.713569498086,104.991531779861,145.060077807816,145.382071471979,94.2331905775108,137.462750148912,166.64504998154
FNDC1,29.6593273001836,51.1194454054567,6.93186064271464,231.138730931907,162.584360111532,60.313706770028,157.943782590573,38.9185574606336,151.397881325992,165.161398539078,40.5465665906863,190.913746580793
SF3B5,794.446266969202,708.856309622333,633.770115905339,624.566358050046,630.147225791753,661.623086386367,503.959352543333,589.969950596423,634.667939598365,684.963836885992,581.497101349354,874.482034126429
LOC113999081,2.11852337858454,3.40796302703045,10.892923867123,13.524074682186,23.3781432840111,10.0522844616713,1.82593968312802,0.884512669559855,14.0368896593635,11.1458612511034,6.92258453987326,64.7165242646756
STX11,3.17778506787681,13.6318521081218,4.95132903051046,1.22946133474419,13.8143573950975,3.65537616788048,5.47781904938405,13.2676900433978,9.02371478101941,6.07956068242005,10.8783471340866,17.7970441727858
LOC113999076,11.651878582215,7.95191372973771,11.8831896732251,8.6062293432093,26.566071913649,11.8799725456116,13.6945476234601,5.30707601735913,10.0263497566882,14.1856415923135,11.8672877826399,21.841826939328
LOC113999078,154.652206636671,190.845929513705,189.1407689655,255.727957626791,343.233649124344,261.359396003454,209.983063559722,233.511344763802,246.648204014531,255.341548661642,190.865545170791,187.677920367559
NDEL1,1810.27822700049,1725.56527935308,1821.09881742175,1535.59720709549,1852.18653381961,1937.34936897666,1665.25699101275,1927.35310697092,1654.34770985356,1566.5001358369,1743.50236339951,1537.82640783935
MYH10,7931.75152942052,7506.6065608724,8876.74268589915,7018.99476005456,7418.30992116733,7738.43134740298,7510.08991670553,9359.02855661283,8062.18783935301,6054.22917957663,8319.95767627911,6207.932590089
STX8,592.127284314379,597.529517406005,678.332077179933,527.438912605256,533.446724026071,651.570801924696,497.568563652385,572.279697205226,573.507206082567,561.346103010118,545.895238001434,608.33532808795
NTN1,691.697883107852,627.065196973602,447.600144358145,501.620224575628,873.492444520778,585.774030902847,350.580419160579,512.132835675156,589.549365693268,419.489687086984,682.369047501793,298.504968170816
PIK3R5,59.3186546003671,54.5274084324871,82.1920619064736,49.1784533897674,40.3804293087464,52.0891103922969,81.2543158991967,41.5720954693132,77.2028931264994,112.471872624771,52.4138543733261,114.062874016491
PIK3R6,30.7185889894758,13.6318521081218,18.8150503159397,57.7846827329767,29.7540005432868,32.8983855109243,34.6928539794323,23.8818420781161,22.0579694647141,97.2729709187208,35.6018633479196,25.0776531525618
LOC113999096,152.533683258087,255.597227027284,192.111566383806,228.679808262419,297.540005432868,262.273240045425,369.752785833423,168.941919885932,319.840557238355,318.163675713316,190.865545170791,762.846029769863
CCDC42,200.200459276239,180.622040432614,170.32571864956,200.402197563302,348.546863507074,263.187084087395,206.331184193466,210.514015355246,200.526995133765,161.108358084131,138.451690797465,208.710790753579
TAF6L,84.7409351433816,63.6153098379017,79.2212644881673,54.0962987287442,126.454502308969,106.919752910504,93.1229238395289,100.834444329823,72.1897182481553,70.9282079615673,59.3364389131994,65.525480817984
LOC113999103,695.934929865021,578.217726919499,604.062141722276,613.501206037349,778.917228508187,800.527380765826,612.60276368945,658.961938822092,621.63368491467,589.717386194745,577.541338755141,627.750285367353
LOC113999105,56.1408695324903,84.0630880000843,70.3088722332485,63.9319894066977,56.3200724569358,60.313706770028,61.1689793847886,54.839785512711,57.1501936131229,58.7690865967272,61.314320210306,56.6269587315911
LOC113999104,236.215356712176,286.268894270558,260.43990700485,272.940416313209,225.280289827743,235.771762828291,246.501857222282,214.936578703045,244.642934063193,245.208947524275,205.699654899091,234.597400459449
LOC113999107,90.0372435898429,103.37487848659,69.3186064271464,86.062293432093,126.454502308969,124.282789707936,28.3020650884843,44.2256334779928,77.2028931264994,73.9679883027773,93.9493616125657,71.1881766911431
LOC113999119,711.823855204405,740.663964541284,710.0205829752,831.115862287069,756.601728100722,595.826315364519,934.881117761545,987.116139228798,867.279253953532,1112.55960488287,739.727605117886,1040.31812755466
TMEM114,8.47409351433816,32.9436425946277,60.4062141722276,6.14730667372093,13.8143573950975,57.5721746441176,18.2593968312802,46.8791714866723,21.0553344890453,11.1458612511034,21.7566942681731,22.6507834926364
METTL22,712.883116893698,573.673776216792,658.526761057891,511.455915253581,502.630080606238,553.789489433893,536.826266839637,593.508001274663,563.480856325879,517.775918119441,582.486041997907,557.371065229518
ABAT,11925.1680980524,10775.9790914703,11065.2301173848,10371.735819902,9525.53074535797,10293.5392887514,11530.8090989534,13560.4637370221,11137.2693097293,9219.65377489001,12327.1451842172,10234.9183124584
TMEM186,85.8001968326739,77.2471619460235,71.2991380393506,84.8328320973488,108.389573407688,109.661285036414,80.3413460576327,61.03137419963,95.2503226885382,96.2597108049842,73.1816079929459,125.388265762809
PMM2,923.676193062859,1033.7487848659,1089.2923867123,957.750379765721,705.594870026516,790.475096304154,966.835062216285,975.61747452452,794.086900729708,784.263328032187,1051.24390941218,846.977511313941
CARHSP1,59.3186546003671,144.270434810956,44.5619612745941,38.1133013770698,48.8815723211141,71.2798352736694,131.467657185217,43.3411208084329,94.2476877128694,46.6099652318871,59.3364389131994,823.517771267997
USP7,2259.40518326041,2429.87763827271,2461.8007939698,2576.95095762381,2002.01917941259,2174.03497584692,2375.54752774955,2320.0767322555,2523.63223375843,2442.97013421912,2532.67700094506,2233.52904368462
CUNH16orf72,1561.35173001681,1629.00632692055,1798.3227038814,1486.41875370572,1230.54045104022,1326.90154894062,1628.73819735019,1521.36179164295,1516.98671818693,1607.03054038637,1621.86266362745,1520.83832021988
ATP13A1,130.289187782949,139.726484108248,160.423060588539,103.274752118512,162.584360111532,137.076606295518,145.162204808677,164.519356538133,154.405786252999,144.896196264345,129.551224960485,152.083832021988
LOC113999121,305.067366516174,495.290626595092,462.454131449677,387.280320444418,342.171006247799,412.143662928524,587.039608125657,399.799726641055,541.422886861165,414.4233865183,403.487784609756,402.051406994297
LOC113999124,8.47409351433816,23.8557411892131,0,18.4419200211628,10.6264287654596,36.5537616788048,8.21672857407608,15.9212280520774,7.01844482968176,14.1856415923135,8.90046583697991,10.5164351930098
LOC113999125,8.47409351433816,9.08790140541453,15.8442528976335,15.9829973516744,15.9396431481894,7.31075233576096,15.5204873065881,18.574766060757,10.0263497566882,10.1326011373668,15.8230503768532,7.280608979776
