,PFT1_POM_run1,PFT10_POM_run1,PFT11_POM_run1,PFT12_POM_run1,PFT3_POM_run1,PFT4_POM_run1,PFT5_POM_run1,PFT6_POM_run1,PFT7_POM_run1,PFT8_POM_run1,PFT9_POM_run1
NUDT17,6.93790027949073,40.5975190687055,88.6065705298193,100.440644038921,91.5655715439207,38.9292380734587,34.1347993583249,61.2758342129896,55.3298994800353,30.3951607007423,24.5125031621084
LOC113987186,98.2869206261187,112.658115415658,100.731680181268,91.1214090250009,113.898637774145,93.2252806495984,99.3012344969451,77.2608344424651,82.5413254538231,114.931701399682,97.1072240652755
LOC113987184,454.432468306643,470.931221196984,512.052707588114,512.55792576563,464.527777588671,500.957826787402,506.850051078157,508.855840638305,425.40529272355,429.331644897985,391.257262010576
LOC113987188,106.381137618858,92.359355881305,107.260585378202,122.185525738069,102.732104659033,123.95888965496,105.507561653004,114.559168311241,124.265511946964,127.279735434358,115.020207145278
LOC113987193,808.265382560671,761.203482538228,697.660155329525,733.113154428416,777.190704811815,652.576964547189,722.002725821538,687.355009867448,741.057834019489,767.477807693743,874.907805170638
LOC113987192,738.886379765763,749.024226817617,636.101906329861,708.261861057961,685.625133267894,695.604017154695,604.082509856416,642.952231452238,696.612504928969,695.28930102948,599.613538888498
LOC113987191,13.8758005589815,6.08962786030583,3.7308029696766,8.28376445681826,12.2831864266235,5.12226816756035,4.13755143737271,1.77611113660839,7.25638025967676,6.64894140328738,8.48509724842214
SLC39A1,144.539589156057,159.345262344669,160.424527696094,134.611172423297,161.914730169128,163.912581361931,165.502057494908,136.760557518846,145.127605193535,160.524442450795,187.614928048445
LOC113987198,24.2826509782176,7.10456583702346,22.3848178180596,44.5252339553982,21.2164129187133,32.7825162723862,32.0660236396385,30.1938893223427,19.0479981816515,22.7963705255567,43.3682748252687
DNAJB9,799.014848854683,709.441645725629,910.315924601091,801.454211197167,932.405515111875,705.848553489816,714.762010806136,785.929177949214,756.477642071302,753.23007611527,885.278479585376
THAP5,245.139143208673,239.525362505362,263.021609362201,241.264639804832,237.847155351892,213.086355770511,247.218698383019,198.92444730014,243.088738699171,219.415066308484,277.179843448456
LOC113987201,8.09421699273919,4.05975190687055,8.39430668177236,3.10641167130685,2.23330662302246,1.02445363351207,6.20632715605907,0,0.907047532459595,14.247731578473,8.48509724842214
SKAP1,5.78158356624228,9.13444179045874,6.52890519693406,1.03547055710228,5.58326655755614,11.2689899686328,5.17193929671589,5.32833340982518,4.53523766229797,6.64894140328738,4.71394291579008
SNX11,282.141278032623,302.451517061856,242.502193028979,298.215520445457,330.529380207323,312.458358221181,298.938091350178,301.938893223427,344.678062334646,284.954631569459,267.751957616876
CBX1,767.794297596975,904.309737255415,806.786142192565,769.354623926996,732.524572351366,850.296515815018,870.954577566956,817.011122839861,821.785064408393,880.509811549629,834.367896094843
NFE2L1,2842.2264811647,3478.19244621134,3617.01347910147,3919.25605863214,3247.22782987465,4023.0294188019,3147.64225598129,3447.43171615689,3846.78858516114,4107.1460896878,3213.96627998567
CDK5RAP3,62.4411025154166,92.359355881305,70.8852564238555,75.5893506684666,87.0989582978758,62.4916716442363,55.8569444045316,56.8355563714686,61.6792322072525,48.442287366808,73.5375094863252
PNPO,910.021253326535,708.426707748911,670.611833799369,730.006742757109,733.641225662877,542.960425761397,832.682226771258,936.898624560927,766.455164928358,701.938242432768,840.024627593791
SP2,54.3468855226774,77.1352862305405,113.789490575136,65.2346450974438,102.732104659033,86.0541052150139,32.0660236396385,80.8130567156819,84.3554205187423,75.9879017518558,39.5971204926366
SCRN2,282.141278032623,340.004222200409,350.695479149601,366.556577214208,270.230101385717,332.947430891423,281.353497741344,261.976392649738,353.748537659242,364.741928408908,265.86638045056
LRRC46,19.6573841252238,11.164317743894,13.0578103938681,15.5320583565342,10.0498798036011,30.7336090053621,10.3438785934318,11.5447223879546,17.2339031167323,21.8465217536585,25.4552917452664
MRPL10,314.51814600358,314.630772782468,300.329639058967,361.379224428697,300.37974079652,295.042646451476,282.387885600688,309.04333776986,318.373683893318,257.409017184411,317.719752524251
OSBPL7,198.886474678734,223.28635487788,209.857667044309,221.590699219889,176.431223218774,246.893325676409,182.052263244399,203.364725141661,204.992742335868,196.618695782927,152.731750471598
TBKBP1,120.256938177839,138.031564833599,161.357228438513,128.398349080683,103.848757970544,131.130065089545,121.023379543152,144.753057633584,139.685319998778,145.326862100424,115.020207145278
KPNB1,514.560937395563,539.947003613783,526.043218724401,618.175922590063,454.47789778507,557.302776630566,545.122401873855,559.475008031644,545.135567008217,511.01863928123,549.645743981123
LOC113987219,138.758005589815,190.808339622916,162.289929180932,88.014997353694,103.848757970544,189.523922199733,122.057767402495,150.969446611713,156.01217558305,119.680945259173,139.532710307386
NAA30,468.308268865625,494.27479466149,554.956941739395,529.125454679266,489.094150441918,522.471353091156,489.265457469323,556.810841326731,468.036526749151,480.623478580488,439.339479751635
AP5M1,278.672327892878,216.181789040857,230.37708337753,208.129581977559,276.930021254785,235.624335707776,184.121038963086,274.409170605997,198.643409608651,207.067032273807,245.125031621084
EXOC5,1392.20532275114,1070.75956543711,1199.45315475103,1168.01078841137,1189.23577675946,1091.04311969035,1169.89266891713,1197.09890607406,1158.2996989509,1276.59674943118,1088.92081354751
OTX2,15.0321172722299,21.3136975110704,8.39430668177236,15.5320583565342,12.2831864266235,23.5624335707776,6.20632715605907,9.76861125134616,11.7916179219747,5.69909263138918,2.82836574947405
TMEM260,174.603823700517,197.912905459939,198.665258135279,195.703935292331,135.115050692859,178.2549322311,233.771656211558,209.58111411979,184.130649089298,160.524442450795,176.301465050549
PELI2,167.665923421026,164.419952228257,147.366717302226,181.207347492899,118.36525102019,101.420909717695,196.533693275204,150.081391043409,191.387029348975,193.769149467232,146.132230389492
BANP,216.231225377461,159.345262344669,279.810222725745,176.029994707388,208.8141692526,159.814766827883,187.224202541115,219.349725371137,166.896745972565,142.47731578473,203.642333962131
ZNF469,5.78158356624228,11.164317743894,12.125109651449,4.14188222840913,3.34995993453368,6.14672180107242,6.20632715605907,9.76861125134616,11.7916179219747,14.247731578473,14.1418287473702
ZFPM1,100.599554052616,93.3742938580227,87.6738697874002,86.9795267965917,92.6822248554319,86.0541052150139,79.6478651694247,72.8205566009441,73.4708501292272,94.0350284179215,80.1370295684313
CIDEC,16.1884339854784,25.3734494179409,19.5867155908022,24.8512933704548,18.9831062956909,20.4890726702414,21.7221450462067,31.9700004589511,16.3268555842727,25.6459168412513,24.5125031621084
ZC3H18,631.348925433657,687.113010237841,676.208038253884,636.814392617904,568.376535559215,643.35688184558,687.867926463213,661.601398386626,710.218217915863,723.784764186426,670.322682625349
LOC113987247,262.483893907399,319.705462666056,296.59883608929,272.3287565179,249.013688467004,282.749202849331,219.290226180754,233.558614464004,264.857879478202,304.901455779321,287.550517863195
MVD,172.29119027402,193.853153553069,154.828323241579,139.788525208808,167.497996726684,193.621736733781,159.295730338849,143.86500206528,160.547413245348,183.320812976352,169.701944968443
RNF166,676.445277250347,728.725467283264,685.535045678076,623.353275375574,656.592147168602,683.310573552551,635.114145636711,676.698343047798,683.006791942075,660.144896469247,754.230866526412
CTU2,223.169125656952,215.166851064139,227.578981150273,187.420170835513,198.764289448999,257.13786201153,217.221450462067,194.484169458619,243.995786231631,217.515368764687,216.841374126343
PIEZO1,104.068504192361,80.1801001606934,97.0008772115917,98.3697029247169,83.7489983633421,93.2252806495984,80.6822530287679,84.3652789888987,79.8201828564443,98.7842722774125,133.875978808438
CDT1,43.9400351034413,62.9261545564935,42.9042341512809,50.7380572980119,66.9991986906737,58.393857110188,56.8913322638748,51.5072229616434,56.2369470124949,40.8434971916225,52.7961606568488
APRT,385.053465511736,295.346951224833,299.396938316547,328.244166601424,397.528578897997,314.507265488205,347.554320739308,298.38667095021,276.649497400176,287.804177885154,222.498105625292
LOC113987238,1443.08325813407,1528.49659293676,1371.07009135615,1384.42413484575,1613.56403513372,1559.21843020537,1788.45660880435,1602.05224522077,1460.34652725995,1655.58640941856,1364.21507982965
GALNS,838.32961710513,957.086512044732,862.748186737714,887.398267436656,944.688701538499,895.372475689549,1100.58868234114,1042.57723718913,921.560292978948,1057.18168312269,832.482318928527
TRAPPC2L,331.862896702307,263.883873946586,255.560003422847,258.867639275571,323.829460338256,277.626934681771,336.176054286533,283.289726289039,273.021307270338,285.904480341357,269.637534783192
CBFA2T3,263.640210620648,297.376827178268,313.387449452835,288.896285431537,272.46340800874,231.526521173728,237.909207648931,243.32722571535,248.531023893929,327.697826304878,280.00820919793
LOC113987231,43.9400351034413,25.3734494179409,21.4521170756405,20.7094111420457,22.3330662302246,17.4157117697052,33.1004114989817,23.9775003442133,28.1184735062474,45.5927410511135,28.2836574947404
ACSF3,296.017078591605,286.212509434374,343.233873210248,273.364227075003,322.712807026745,346.26532812708,297.903703490835,303.715004360035,333.793491945131,322.948582445387,262.095226117928
CDH15,5.78158356624228,5.07468988358819,12.125109651449,5.17735278551141,2.23330662302246,6.14672180107242,6.20632715605907,9.76861125134616,5.44228519475757,3.79939508759279,3.77115433263206
SLC22A31,53.190568809429,38.5676431152702,7.46160593935321,26.9222344846594,21.2164129187133,33.8069699058983,28.962860061609,15.0969446611713,28.1184735062474,16.1474291222694,28.2836574947404
ANKRD11,3302.44053303759,3910.55602429306,4239.12487429504,3929.61076420316,3043.99692717961,4122.40142125257,3678.28322782434,4404.75561878881,4045.43199476979,4192.63247915864,3483.60381476887
SPR,391.991365791227,431.348640104996,337.637668755733,269.222344846594,468.994390834716,395.439102535659,313.419521380983,457.348617676661,261.229689348363,262.158261043902,290.378883612669
LOC113987255,1.15631671324846,11.164317743894,7.46160593935321,15.5320583565342,3.34995993453368,5.12226816756035,1.03438785934318,9.76861125134616,1.81409506491919,1.89969754379639,0
LOC113987257,0,7.10456583702346,3.7308029696766,22.7803522562502,8.93322649208982,4.09781453404828,3.10316357802953,2.66416670491259,8.16342779213635,6.64894140328738,0.942788583158015
LOC113987260,18.5010674119753,29.4332013248115,21.4521170756405,16.5675289136365,18.9831062956909,12.2934436021448,32.0660236396385,18.6491669343881,20.8620932465707,37.9939508759279,27.3408689115824
LOC113987259,123.725888317585,113.673053392375,110.991388347879,119.079114066763,128.415130823791,113.71435331984,143.779912448702,82.5891678522903,116.102084154828,99.7341210493107,90.5077039831694
SELENBP1,222.012808943704,166.449828181693,250.896499710752,241.264639804832,273.580061320251,237.6732429748,198.60246899389,230.006392190787,115.195036622369,220.364915080382,429.911593920055
LOC113987267,146.852222582554,142.091316740469,107.260585378202,125.291937409376,128.415130823791,104.494270618231,138.607973151986,110.11889046972,121.544369349586,118.731096487275,132.93319022528
LOC113987271,1027.96555807788,1057.56537173978,1075.40395600928,930.888030834952,863.173009798179,916.886001993303,917.502031237399,872.958623643025,1014.98618882229,780.775690500318,1013.49772689487
LOC113987270,388.522415651481,379.586803292396,391.734311816043,378.982223899435,398.645232209508,345.240874493568,309.28196994361,343.677504933724,404.543199476979,371.390869812195,382.772164762154
CREBZF,445.181934600655,392.780996989726,449.561757846031,341.705283843753,377.428819290795,398.512463436195,333.072890708503,371.207227551154,393.658629087464,391.337694022057,372.401490347416
CCDC89,43.9400351034413,48.7170228824466,50.3658400906341,41.4188222840913,56.9493188870726,54.2960425761397,51.7193929671589,46.1788895518182,41.7241864931414,41.7933459635207,82.0226067347473
SYTL2,200.042791391983,358.273105781326,298.464237574128,369.662988885515,275.813367943273,245.868872042897,209.980735446665,269.080837196172,255.787404153606,179.521417888759,300.749558027407
CCDC83,434.775084181419,386.69136912942,435.571246709743,409.010870055402,444.428017981469,371.876668964881,381.689120097633,413.833894829756,443.546243372742,343.845255427147,302.635135193723
