"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"CDK2AP1",443.535962073899,0.556741035424785,0.176783655383869,9.9364949162353,0.00162033789650867,0.209242908498094,"CDK2AP1","CDK2AP1","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"TSC22D3",2035.81442508488,-0.958673689209093,0.298161935516539,9.93245396921824,0.00162389893894458,0.209242908498094,"TSC22D3","TSC22D3","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"EHHADH",85.9712042179543,-1.07289120775762,0.350149957487661,9.68291499464532,0.00185989321453509,0.209969545391787,"EHHADH","EHHADH","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"GPR37",365.291774678891,0.642761589408485,0.20374599811607,9.83310244556746,0.00171399008546057,0.209969545391787,"GPR37","GPR37","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113993201",133.69648053264,1.54972732289208,0.497054019649524,9.6855500107548,0.00185722785127578,0.209969545391787,"CDH6","LOC113993201 (CDH6)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC113997733",453.93975105685,-0.720654854227158,0.227159474767139,9.87668998055742,0.00167385784281072,0.209969545391787,"POLR2A","LOC113997733 (POLR2A)","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LOC114001415",7.62420487758732,-4.8757073516927,1.56452783521137,9.90941107445197,0.00164435729294655,0.209969545391787,"LOC114001415","LOC114001415","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"LSM14A",1480.10121011178,0.388614354077673,0.124599431056405,9.65867362953708,0.00188459640552758,0.209969545391787,"LSM14A","LSM14A","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"MAST3",2771.50777144467,-0.385431312940712,0.123214059959046,9.77136058213014,0.00177251234619436,0.209969545391787,"MAST3","MAST3","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
"OIT3",215.305192039075,-0.960186493155527,0.30758763108185,9.67000102955727,0.00187301207886005,0.209969545391787,"OIT3","OIT3","LS",1277,39,"LRT_full_interaction","~ Status + mean_T + Status:mean_T","no"
