"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"NUDT13",13.4660405658393,3.52609211115278,1.26018707588105,8.31121397199092,0.00394010475200076,0.53385458905662,"NUDT13","NUDT13",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"ULK1",1677.30539277787,0.72053262285238,0.246651533257478,8.30963837864405,0.00394352420355767,0.53385458905662,"ULK1","ULK1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"DRD2",307.264824240709,1.2343325166593,0.430155497391932,8.28893630285035,0.00398873464026848,0.535196412528768,"DRD2","DRD2",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"KLF15",458.490933814343,-0.985523562760208,0.337724417180115,8.25340444834964,0.00406756435844639,0.54098605967337,"KLF15","KLF15",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113983815",25.2538473168519,2.71759190082917,0.890545259980378,8.22242322834002,0.00413759132053331,0.545514431321096,"SELP","LOC113983815 (SELP)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CCDC3",46.5087306902319,2.93715776547635,1.00560599362511,8.11721397924971,0.00438468907209448,0.56528564448909,"CCDC3","CCDC3",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113993489",201.651437279336,1.12038717240992,0.382602468061321,8.11114200750131,0.00439940021433271,0.56528564448909,"CEP350","LOC113993489 (CEP350)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"ZFAND5",2433.01618485843,-0.761854537471516,0.266887878219515,8.12396223821534,0.00436839817395638,0.56528564448909,"ZFAND5","ZFAND5",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC114000478",9.36616328774791,-3.75452437382333,1.32579989356658,8.09033253673772,0.0044501996176721,0.567007786581046,"LOC114000478","LOC114000478",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"HMX2",197.129481195833,2.21058739812579,0.738121511223544,7.99420366006549,0.00469273352842402,0.588026659156736,"HMX2","HMX2",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
