,PFT1_AI_run1,PFT10_AI_run1,PFT11_AI_run1,PFT12_AI_run1,PFT2_AI_run1,PFT4_AI_run1,PFT5_AI_run1,PFT6_AI_run1,PFT7_AI_run1,PFT8_AI_run1,PFT9_AI_run1
MRPS18B,452.448426168749,314.281149513779,271.586580034068,314.012706439494,303.024200384159,315.913441880226,349.973868690413,290.723203808917,458.088621443384,333.079154777278,353.164313388045
PPP1R10,657.558379365249,699.799359584015,828.287041023442,778.159434139621,617.034172383453,852.879264580224,770.775782234839,741.845416615858,663.856071319376,698.082829181771,864.564585372032
LOC113982192,87.042459129607,143.521724944626,135.273009212371,119.472847904589,129.998297445772,158.391863422042,133.323378548729,115.286787717329,41.8983495222608,164.943351407278,119.250287637522
ARSA,97.3841374420355,181.235462886279,116.542900244504,176.566067257224,129.998297445772,149.689013783468,112.49160065049,96.239405398814,170.386621390527,169.19995402424,151.356134309162
LOC113982201,2808.62746835039,2580.24823750813,2769.97500402563,2975.19109737622,2531.30487632084,2695.27253306628,2730.00449356421,2287.69086583431,3302.52101678798,2527.3578038212,2648.73235041034
LOC113982200,655.834766313177,662.085621642361,809.556932055575,712.607960068077,776.32786080292,768.461623086059,866.601960566738,592.473839486449,401.293080979875,752.354512548037,706.32862677609
LOC113982203,1624.50530157732,1965.30478829283,2032.21682301355,1850.24321976133,1987.50918137163,1913.75663552236,1929.02263337692,1667.1471997732,895.693605342552,1802.67120828342,1504.38824404258
LOC113982202,238.720407711892,281.805430730689,291.357250611261,217.800059011905,290.207466833167,283.712898217503,336.433213056558,269.670833877927,120.108601963814,216.022582810823,209.834640746793
LOC113982204,8.61806526035713,25.1424919611023,17.6895473585408,28.5466096763176,14.6476954868476,8.70284963857372,21.8733667931508,38.0947646370305,17.6904142427323,64.9131899086708,20.6394728603403
LOC113982207,17.2361305207143,17.8092651391142,13.5273009212371,19.0310731175451,12.8167335509916,1.74056992771474,11.4574778440314,18.0448885122776,16.7593398089043,65.9773405629113,11.4663738113002
LOC113982209,16.3743239946785,16.7616613074016,11.4461777025853,16.9165094378179,6.4083667754958,11.3137045301458,17.7070112135031,16.0399008998023,13.9661165074203,38.3094235526582,16.0529233358202
LOC113982212,19.8215500988214,11.5236421488386,9.36505448393339,4.22912735945446,0.915480967927972,5.22170978314423,4.16635557964778,5.01246903118823,4.65537216914008,4.25660261696202,6.8798242867801
