,PFT1_GCT_run2,PFT10_GCT_run1,PFT11_GCT_run1,PFT12_GCT_run1,PFT2_GCT_run1,PFT3_GCT_run2,PFT4_GCT_run1,PFT5_GCT_run1,PFT6_GCT_run1,PFT7_GCT_run2,PFT8_GCT_run1,PFT9_GCT_run2
TMEM45A,33.6630809233615,26.3667341420003,23.2167863761383,14.5108283811423,31.0747802739766,20.6328850320886,19.4996668244455,24.3678170921899,23.3031961356896,27.0043818575624,13.2500077790976,48.1915670324127
TFG,1400.5881850841,1524.3878516912,1515.86267714203,1398.84385594211,1387.68315660977,1460.02224560398,1464.24770881745,1598.99295014465,1549.66254302336,1396.66662967313,1568.59707477163,1302.99085957448
ABI3BP,75.4869087372348,70.311291045334,223.461568870331,82.2280274931395,72.8315162671327,97.2693151512748,87.7485007100048,147.367274795625,76.2650055349841,74.5320939268722,134.538540526221,232.77436151505
IMPG2,159.134564364981,241.206790113854,234.102595959394,169.292997779993,116.530426027412,131.657456871422,153.338289119503,129.961691158346,229.854252792938,240.879086169456,129.442383688107,235.502186064054
SENP7,310.108381839451,506.827222951783,286.340365305706,385.020646379641,514.676048287738,465.713690724285,461.787564342551,378.281351050187,329.422454463612,557.370441540088,300.673253448752,322.792571632198
LOC113991320,19.3817738649657,5.85927425377783,4.83683049502881,11.6086627049138,21.3639114383589,10.807701683475,8.86348492020251,9.28297793988188,5.29618093992945,10.801752743025,16.3077018819662,37.2802688363947
LOC113991380,1407.7288386133,738.268555976007,732.296136947362,839.693268988765,768.129724897359,853.808432994523,834.053930991056,892.326254471146,780.657070545602,836.055662310132,1093.63525745936,909.274849668164
LOC113991383,1593.38583037244,2337.85042725736,2341.02595959394,2245.30884484208,2139.30440448658,2485.77138719924,2469.36689876842,2048.05700798644,2206.38897957461,2412.03138751747,2246.38593424085,2143.16082066786
LOC113991390,92.8284958795725,83.9829309708156,93.8345116035589,101.575798667996,118.472599794536,140.500121885175,113.452606978592,116.037224248524,92.1535483547725,86.4140219441996,121.288532747124,118.205730456861
LOC113991386,16.3214937810237,18.5543684702965,24.184152475144,8.70649702868535,23.3060852054825,45.1958434036226,22.1587123005063,25.5281893346752,10.5923618798589,17.2828043888399,18.346164617212,22.7318712417041
LOC113991384,35.7032676459894,13.6716399254816,20.314688079121,39.6629309084555,31.0747802739766,23.5804400366727,28.363151744648,4.64148896994094,18.0070151957601,19.4431549374449,57.0769565868818,78.1976370714621
LOC113991387,11.2210269744538,19.5309141792594,22.2494202771325,35.7933766734842,7.76869506849415,35.370660055009,7.97713642818226,26.6885615771604,11.6515980678448,23.7638560346549,42.8077174401613,14.5483975946906
LOC113991388,8.16074689051187,4.88272854481486,10.6410270890634,13.5434398223994,1.94217376712354,11.7902200183363,7.97713642818226,13.9244669098228,20.1254875717319,8.64140219441996,19.3653959848349,6.36492394767715
LOC113991389,6.1205601678839,22.4605513061484,19.3473219801152,37.7281537909699,3.88434753424708,11.7902200183363,17.726969840405,10.4433501823671,38.1325027674921,31.3250829547724,13.2500077790976,10.911298196018
LOC113991394,73.4467220146068,39.0618283585189,38.6946439602305,39.6629309084555,77.6869506849415,88.4266501375225,67.3624853935391,75.4241957615403,64.6134074671393,47.5277120693098,48.9231056458987,42.7359179344037
LOC113991395,160.154657726295,113.279302239705,112.214467484668,100.608410109253,154.402814486321,179.800855279629,123.202440390815,141.565413583199,142.996885378095,111.258053253157,145.750085570073,144.574701097238
RUNDC3B,1742.31946112428,2084.92508863595,1853.47344569504,1868.99469549112,1974.21963428108,2712.73312255222,2089.12339569173,1802.05809257957,1937.34298782619,2366.66402599677,1782.63566197243,2021.31799081233
