"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"ETV7",16.8915091105382,2.98814153910898,1.40662816234544,4.25093041086059,0.039228832875572,1.1523109218653e-14,"ETV7","ETV7",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"FAM124B",65.9762698504232,1.09644573262182,0.413022441454897,7.39183085508236,0.00655207622103496,1.1523109218653e-14,"FAM124B","FAM124B",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"FAM180B",144.123641797895,0.584114505533992,0.294330109359144,3.83223302055418,0.0502759097749732,1.1523109218653e-14,"FAM180B","FAM180B",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"FAM204A",380.879398146333,0.601602335509953,0.314193385562458,3.51874942647994,0.0606782156928723,1.1523109218653e-14,"FAM204A","FAM204A",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"FAT1",1790.11303727739,0.390393916181362,0.170055072057397,5.42807255706478,0.0198155381424209,1.1523109218653e-14,"FAT1","FAT1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"FDPS",474.94933098477,-0.434899060671777,0.214403457628725,4.19718124249395,0.0404912311048541,1.1523109218653e-14,"FDPS","FDPS",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"FEN1",482.954062831104,-0.567615889869,0.246750840413415,5.41582782788601,0.019954988926636,1.1523109218653e-14,"FEN1","FEN1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"FKBP5",384.775449819507,-1.30651540400973,0.484619190093849,6.16392954277293,0.0130381247771844,1.1523109218653e-14,"FKBP5","FKBP5",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"FMO1",13.7499027472498,2.09416476185174,1.03919119479862,4.25370043449736,0.0391649032295019,1.1523109218653e-14,"FMO1","FMO1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"FOXB1",75.7815728197225,1.06415163661713,0.517242380193822,4.71594502380472,0.0298841355894411,1.1523109218653e-14,"FOXB1","FOXB1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"FRZB",53.4538043571641,-1.82950289062487,0.580829679340651,9.90500790538611,0.00164829620836899,1.1523109218653e-14,"FRZB","FRZB",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"GADD45B",489.432185329254,-0.80468359965639,0.404230677129792,3.67952485970321,0.0550845454989096,1.1523109218653e-14,"GADD45B","GADD45B",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"GADD45G",440.855559621864,-1.48113334223372,0.614696154980642,4.75238385084219,0.0292577361105616,1.1523109218653e-14,"GADD45G","GADD45G",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"GEN1",359.752984820844,0.905537902813513,0.431289342413757,4.89309660601597,0.0269642815866848,1.1523109218653e-14,"GEN1","GEN1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"GFER",825.196139136771,-0.369684505979341,0.190989665534108,3.72044830569655,0.0537499377507784,1.1523109218653e-14,"GFER","GFER",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"GPR17",18.5652094636062,3.7109849150738,1.2001969865725,8.14057704803922,0.00432855065808436,1.1523109218653e-14,"GPR17","GPR17",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"GTF2H1",623.367658412642,-0.492081379146498,0.21057554751434,5.51448444973876,0.0188596311163864,1.1523109218653e-14,"GTF2H1","GTF2H1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"HEPACAM2",16.3582264195528,-1.5463095397531,0.761632372317842,4.10065599354273,0.0428665784271398,1.1523109218653e-14,"HEPACAM2","HEPACAM2",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"HIC1",102.332683566035,0.789212641359303,0.333160981118191,5.90395710213311,0.0151069073745838,1.1523109218653e-14,"HIC1","HIC1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"HLF",1051.91728918326,-0.717113129414856,0.373203264927437,3.54617229107708,0.0596829793589631,1.1523109218653e-14,"HLF","HLF",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"HMGB1",3411.14970069972,-0.432292678349061,0.213800045881239,4.23696900591747,0.0395527198998995,1.1523109218653e-14,"HMGB1","HMGB1",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"HSPB11",276.9862989095,-0.83333602427388,0.403907190495233,4.42646582283642,0.0353857068636211,1.1523109218653e-14,"HSPB11","HSPB11",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"HSPG2",388.499296009438,0.950952226430302,0.472688654526538,4.26066036223827,0.0390047561031224,1.1523109218653e-14,"HSPG2","HSPG2",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"IAPP",559.325419888401,-0.968622232546272,0.444176962420019,5.06617630356737,0.0243971425238827,1.1523109218653e-14,"IAPP","IAPP",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"IDS",355.137269880531,-0.490400352639923,0.199442122938626,5.97974840252782,0.0144710664279113,1.1523109218653e-14,"IDS","IDS",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"IMPG2",161.163873251624,0.853629273468946,0.369089856583863,5.20396187071609,0.0225354683756981,1.1523109218653e-14,"IMPG2","IMPG2",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ITGA11",60.3174838288327,1.54173407909552,0.717859785571058,4.40617553236059,0.0358090369858177,1.1523109218653e-14,"ITGA1","ITGA11",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"ITGA2B",12.0367906192834,-3.14759083232989,1.38500265864381,4.19082987590689,0.040643197062021,1.1523109218653e-14,"ITGA2B","ITGA2B",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
