"","ID","logT","studyyear","T.doy.adj","time.of.day","T.tElap","Tresid","Status","ID_year","ID_year_Tday","meanT","correctedT","relativeT"
"388","RXYM",-2.20727491318972,"16-17",44,444,18,-1.63580162891783,"floa","RXYM_16-17","RXYM_16-17_44",-1.63580162891783,-1.63580162891783,0
"389","RXYO",0.500775287912489,"15-16",-3,491,16,0.311648510671922,"terr","RXYO_15-16","RXYO_15-16_-3",0.311648510671922,0.311648510671922,0
"390","RYBX",-1.20397280432594,"16-17",19,442,24,-0.479985461020381,"floa","RYBX_16-17","RYBX_16-17_19",-0.183992255843868,-0.479985461020381,-0.295993205176513
"391","RYBX",-0.430782916092454,"16-17",-13,450,12,0.112000949332645,"floa","RYBX_16-17","RYBX_16-17_-13",-0.183992255843868,0.112000949332645,0.295993205176513
"392","RYOX",-0.82098055206983,"17-18",-23,570,16,-0.501371779306651,"floa","RYOX_17-18","RYOX_17-18_-23",-0.501371779306651,-0.501371779306651,0
"393","WBGX",-1.23787435600162,"15-16",-9,471,17.398773006135,-1.39737329434808,"floa","WBGX_15-16","WBGX_15-16_-9",-1.39737329434808,-1.39737329434808,0
"394","WGBX",-0.994252273343867,"15-16",71,557,45,-0.713472303814664,"terr","WGBX_15-16","WGBX_15-16_71",-0.594398810003559,-0.713472303814664,-0.119073493811105
"395","WGBX",-0.616186139423817,"15-16",-5,624,1,-1.04967108867593,"terr","WGBX_15-16","WGBX_15-16_-5",-0.594398810003559,-1.04967108867593,-0.455272278672375
"396","WGBX",-0.0304592074847086,"16-17",19,405,10,0.411656193529575,"terr","WGBX_16-17","WGBX_16-17_19",-0.594398810003559,0.411656193529575,1.00605500353313
"397","WGBX",-1.56064774826467,"17-18",-14,499,29,-1.02610804105321,"terr","WGBX_17-18","WGBX_17-18_-14",-0.594398810003559,-1.02610804105321,-0.431709231049654
"398","WGGX",0.300104592450338,"16-17",-29,512,1,0.674164415547942,"floa","WGGX_16-17","WGGX_16-17_-29",-0.384164569990758,0.674164415547942,1.0583289855387
"399","WGGX",-0.22314355131421,"17-18",46,489,22,0.0834744922817789,"floa","WGGX_17-18","WGGX_17-18_46",-0.384164569990758,0.0834744922817789,0.467639062272537
"400","WGGX",-1.96611285637283,"17-18",12,573,5,-1.91013261780199,"floa","WGGX_17-18","WGGX_17-18_12",-0.384164569990758,-1.91013261780199,-1.52596804781124
"401","WGPX",0.131028262406404,"15-16",-15,415,7,-0.237897452049099,"terr","WGPX_15-16","WGPX_15-16_-15",1.24437929747275,-0.237897452049099,-1.48227674952185
"402","WGPX",1.69927861643389,"16-17",-21,518,17,2.37203294202986,"terr","WGPX_16-17","WGPX_16-17_-21",1.24437929747275,2.37203294202986,1.12765364455711
"403","WGPX",1.12167756159911,"17-18",-6,417,28,1.59900240243749,"terr","WGPX_17-18","WGPX_17-18_-6",1.24437929747275,1.59900240243749,0.354623104964736
"404","WGRX",0.0295588022415444,"15-16",-10,481,2,-0.422429501650157,"terr","WGRX_15-16","WGRX_15-16_-10",0.0913099192226816,-0.422429501650157,-0.513739420872838
"405","WGRX",1.30291275218084,"16-17",-15,429,5,1.70695837895894,"terr","WGRX_16-17","WGRX_16-17_-15",0.0913099192226816,1.70695837895894,1.61564845973626
"406","WGRX",-1.83258146374831,"16-17",18,503,28,-1.01059911964074,"terr","WGRX_16-17","WGRX_16-17_18",0.0913099192226816,-1.01059911964074,-1.10190903886342
"407","WOOX",-0.693147180559945,"16-17",-17,488,2,-0.325324056585663,"floa","WOOX_16-17","WOOX_16-17_-17",-0.186078133751365,-0.325324056585663,-0.139245922834298
"408","WOOX",-1.96611285637283,"16-17",47,456,14,-1.47251219886755,"floa","WOOX_16-17","WOOX_16-17_47",-0.186078133751365,-1.47251219886755,-1.28643406511619
"409","WOOX",0.536493370514568,"17-18",40,494,42,1.23960185419912,"floa","WOOX_17-18","WOOX_17-18_40",-0.186078133751365,1.23960185419912,1.42567998795049
"410","WOPX",0.350656871613169,"15-16",57,543,36,0.474256159425299,"terr","WOPX_15-16","WOPX_15-16_57",0.649398271492339,0.474256159425299,-0.17514211206704
"411","WOPX",-0.371063681390832,"15-16",-9,519,17.398773006135,-0.515365951458795,"terr","WOPX_15-16","WOPX_15-16_-9",0.649398271492339,-0.515365951458795,-1.16476422295113
"412","WOPX",0.688134638736401,"16-17",-13,449,18,1.34638383997424,"terr","WOPX_16-17","WOPX_16-17_-13",0.649398271492339,1.34638383997424,0.696985568481902
"413","WOPX",0.457424847038875,"16-17",16,961,21,1.29231903802861,"terr","WOPX_16-17","WOPX_16-17_16",0.649398271492339,1.29231903802861,0.642920766536271
"414","WPWX",1.22377543162212,"15-16",-3,499,3,0.786320577446123,"terr","WPWX_15-16","WPWX_15-16_-3",0.219418075815697,0.786320577446123,0.566902501630426
"415","WPWX",1.60341984010854,"15-16",23,422,7,1.17991501931902,"terr","WPWX_15-16","WPWX_15-16_23",0.219418075815697,1.17991501931902,0.960496943503324
"416","WPWX",0.631271776841858,"16-17",35,451,31,1.46927361225782,"terr","WPWX_16-17","WPWX_16-17_35",0.219418075815697,1.46927361225782,1.24985553644213
"417","WPWX",-2.04022082852655,"16-17",-8,474,18,-1.38152975998901,"terr","WPWX_16-17","WPWX_16-17_-8",0.219418075815697,-1.38152975998901,-1.60094783580471
"418","WPWX",0.378436435720245,"16-17",25,440,23,1.07352591875502,"terr","WPWX_16-17","WPWX_16-17_25",0.219418075815697,1.07352591875502,0.854107842939327
