studyyear,date,doy,doy.adj,mean.temp,ID1,Status,ID_date,ID_year,Tmanip,timesincemanip,pings,num.terr.ping,num.int,num.part,pings_terr,num.int_terr,num.part_terr,weight,mean.stab,pingsL,num.intL,num.partL,pings_terrL,num.int_terrL,num.part_terrL
16-17,12/28/16,363,-2,26.3,BBOX,floa,BBOX_2016-12-28,BBOX_16-17,none,NA,6,2,3,3,0,0,0,1,0.403381643,1.791759469,1.386294361,1.386294361,0,0,0
16-17,2/10/17,41,41,27.3,BBOX,floa,BBOX_2017-02-10,BBOX_16-17,none,NA,47,1,3,2,0,0,0,1.5,0.083597884,3.850147602,1.386294361,1.098612289,0,0,0
16-17,12/25/16,360,-5,25.1,BBOX,floa,BBOX_2016-12-25,BBOX_16-17,none,NA,4,1,0,0,0,0,0,0,0,1.386294361,0,0,0,0,0
16-17,12/29/16,364,-1,25.7,BBOX,floa,BBOX_2016-12-29,BBOX_16-17,none,NA,5,1,4,4,0,0,0,1,0.023589165,1.609437912,1.609437912,1.609437912,0,0,0
16-17,2/26/17,57,57,21.9,BBOX,floa,BBOX_2017-02-26,BBOX_16-17,none,NA,14,2,2,2,0,0,0,1,0.180555556,2.63905733,1.098612289,1.098612289,0,0,0
16-17,1/3/17,3,3,23.2,BBOX,floa,BBOX_2017-01-03,BBOX_16-17,none,NA,15,2,4,2,0,0,0,2,0.041372141,2.708050201,1.609437912,1.098612289,0,0,0
16-17,1/8/17,8,8,24.4,BBOX,floa,BBOX_2017-01-08,BBOX_16-17,none,NA,133,3,16,4,0,0,0,4,0.090854434,4.890349128,2.833213344,1.609437912,0,0,0
16-17,12/27/16,362,-3,26.9,BBOX,floa,BBOX_2016-12-27,BBOX_16-17,none,NA,22,1,2,2,0,0,0,1,0.05,3.091042453,1.098612289,1.098612289,0,0,0
16-17,2/11/17,42,42,27.3,BBOX,floa,BBOX_2017-02-11,BBOX_16-17,none,NA,63,4,10,8,0,0,0,1.25,0.0493248,4.143134726,2.397895273,2.197224577,0,0,0
16-17,1/25/17,25,25,27.1,BBOX,floa,BBOX_2017-01-25,BBOX_16-17,none,NA,6,2,4,3,0,0,0,1.333333333,0.028588565,1.791759469,1.609437912,1.386294361,0,0,0
16-17,12/23/16,358,-7,23,BBOX,floa,BBOX_2016-12-23,BBOX_16-17,none,NA,11,2,3,3,0,0,0,1,0.050477602,2.397895273,1.386294361,1.386294361,0,0,0
16-17,2/7/17,38,38,25.1,BBOX,floa,BBOX_2017-02-07,BBOX_16-17,none,NA,4,1,1,1,0,0,0,1,0.058823529,1.386294361,0.693147181,0.693147181,0,0,0
16-17,2/3/17,34,34,24.4,BBOX,floa,BBOX_2017-02-03,BBOX_16-17,none,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16-17,1/9/17,9,9,25.6,BBOX,floa,BBOX_2017-01-09,BBOX_16-17,none,NA,6,1,0,0,0,0,0,0,0,1.791759469,0,0,0,0,0
16-17,12/24/16,359,-6,23.2,BBOX,floa,BBOX_2016-12-24,BBOX_16-17,none,NA,10,1,0,0,0,0,0,0,0,2.302585093,0,0,0,0,0
16-17,1/17/17,17,17,26.3,BBOX,floa,BBOX_2017-01-17,BBOX_16-17,none,NA,33,2,2,2,0,0,0,1,0.155555556,3.496507561,1.098612289,1.098612289,0,0,0
16-17,1/4/17,4,4,26.3,BBOX,floa,BBOX_2017-01-04,BBOX_16-17,none,NA,40,2,4,4,0,0,0,1,0.021004057,3.688879454,1.609437912,1.609437912,0,0,0
15-16,1/28/16,28,28,27.9,BGMX,terr,BGMX_2016-01-28,BGMX_15-16,none,NA,772,1,2,2,772,2,2,1,0.55,6.64898455,1.098612289,1.098612289,6.650279049,1.098612289,1.098612289
15-16,1/31/16,31,31,28.7,BGMX,terr,BGMX_2016-01-31,BGMX_15-16,none,NA,348,1,0,0,348,0,0,0,0,5.85220248,0,0,5.855071922,0,0
