"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","MM.black","MM.blue","MM.brown","MM.cyan","MM.green","MM.grey60","MM.midnightblue","MM.pink","MM.salmon","MM.turquoise"
"MOGS","midnightblue","MOGS","MOGS",3,"N","MOGS",0.382184092013433,0.508266375356838,0.535926991005966,0.102158724653999,0.45577299325603,0.825758475746193,0.00439831216254587,0.588488083404113,0.874053276672017,0.264124125574383
"MOK","turquoise",NA,NA,NA,NA,"MOK",0.924354012637041,5.56701384654038e-05,0.764509033415099,0.12983771634701,0.0924920419917872,0.011717113399951,0.00510461809314884,0.0031123293573619,0.0946187839846167,3.72137190480599e-06
"MON1A","midnightblue","MON1A","MON1A",3,"N","MON1A",0.395756468239675,0.00184709988947425,0.132396276075664,0.739209976201132,0.00543866432884184,0.000409522190095791,9.33233317508136e-05,0.363194936749786,0.947926713392925,0.0203551269311317
"MON1B","midnightblue","MON1B","MON1B",2,"N","MON1B",0.320210349941862,0.612013353226422,0.973426893380421,0.098317933029172,0.440506145273045,0.550294082007405,0.0405617838113389,0.797164308981405,0.476748116447922,0.481871015839832
"MON2","turquoise","MON2","MON2",3,"N","MON2",0.537135551035678,0.0131175570135427,0.627709044856499,0.374919481223263,0.397219816608958,0.111383236918404,0.814883795185168,0.264658400450533,0.0506490780757556,0.0320992108311124
"MORC2","blue","MORC2","MORC2",2,"N","MORC2",0.349641275696629,0.017759451376552,0.0409219917267043,0.641394123535152,0.00128608691030909,0.00102311518649177,0.037879399705811,0.588144889017284,0.352844563099481,0.14227367093574
"MORC3","turquoise","MORC3","MORC3",2,"N","MORC3",0.83681243462476,0.00241130540898488,0.443383513383305,0.67407259178792,0.151325721304292,0.00312411939974675,0.00812045534805078,0.159293500530679,0.712206362519338,0.00643966495945497
"MORF4L1","blue","MORF4L1","MORF4L1",2,"N","MORF4L1",0.429828699679888,0.00239803486633904,0.320161427425348,0.859782176350285,0.00717534984793495,0.00340810314378537,0.327838403480141,0.3166365111684,0.276674244514859,0.0441120049379173
"MORN3","green","MORN3","MORN3",2,"N","MORN3",0.589639604152614,0.426541644033182,0.0740448879817416,0.638461843711368,0.0270363814744411,0.0335737701720999,0.243207156474117,0.822379308952711,0.995227871343524,0.723663588738629
"MORN4","blue","MORN4","MORN4",3,"N","MORN4",0.85911785497606,0.00160411961150588,0.825083526152073,0.75163543837661,0.342617902305572,0.016027346799935,0.365461961428242,0.121790303141095,0.29930711998343,0.00990536889954579
"MORN5","green","MORN5","MORN5",2,"N","MORN5",0.289139002670099,0.343436223544766,0.603101204173575,0.827510995147598,0.126747168448306,0.28383635293547,0.989760738033986,0.185084827566182,0.0948045744532556,0.658771843235308
"MOS","black","MOS","MOS",3,"N","MOS",0.159737160510608,0.646182486014398,0.605112231019625,0.818897424383699,0.517414880908299,0.935669273526544,0.381657225420992,0.364036475659998,0.426808712010516,0.837945288636699
"MOSMO","turquoise","MOSMO","MOSMO",2,"N","MOSMO",0.202239305720021,0.0164314389388098,0.231611986863005,0.761836906551024,0.911739822142912,0.327152287668952,0.470857596445516,0.0739895592102992,0.623774970368952,0.00143719314779866
