"","MEcyan","MEmediumpurple3","MEblack","MEdarkturquoise","MEhoneydew1","MEplum1","MEdarkgrey","MEsienna3","MEyellowgreen","MEnavajowhite2","MEyellow","MEpaleturquoise","MEbisque4","MEdarkmagenta","MEdarkseagreen4","MEpurple","MEtan","MEivory","MEviolet","MEdarkolivegreen","MEdarkorange2","MEgrey"
"PFT12_GCT_run1",0.0802686999060531,0.0222493755373145,0.143036034858044,0.0503494722347891,-0.108691056849452,-0.0134340582333766,-0.106019355583029,-0.0898237118970372,-0.03168048511728,-0.0773157522396815,0.00122328444601529,-0.0968844498314331,-0.175004037721221,-0.0551439787205686,0.10490708906096,0.176785551705341,0.0854437496065591,0.0619342708966761,0.124446675991529,0.0116741908315156,0.122135578571695,-0.126465687786709
"PFT12_ICO_run1",0.0705532134750335,0.0158090649860457,0.0479780837106454,-0.0249546320497186,-0.0868728587154082,-0.0274540161221251,-0.0735557649658045,-0.0641340503818602,0.00263431653885228,-0.0390181873541702,0.0612538194914573,-0.059519848208226,-0.0982414758405999,-0.0452400169589392,0.241675644246297,0.0930010080733923,0.0601340753555324,0.0404311492714173,0.0561798303813546,-0.0765608877806131,0.10662732884782,-0.113764671808224
"PFT12_LS_run2",-0.217036231294625,-0.162877888094628,-0.118279438445533,-0.0483186024799075,-0.0506206493536929,-0.0464178722408725,0.161568655073324,-0.024344928347049,0.137068586088658,-0.0780277333210039,0.081841361315691,0.174956796893424,0.123861352776711,0.235751263194944,-0.0166322312683694,-0.117862963845872,-0.100345576394728,0.0287277904650241,0.0302757082033605,-0.0424242071410804,0.00654856704898411,-0.101052580883104
"PFT12_POM_run1",0.0183898558814704,-0.0303361049186326,-0.0920198020727585,-0.00880089376400272,-0.0614776219296165,-0.0325142927592355,-0.0775926647466935,-0.0298704583623975,0.0763929365035621,0.14346937956618,0.0863344262021168,-0.031480138426001,0.0559266754940703,-0.0166806706141518,-0.0531489383475255,-0.0235347462816717,0.0898766072506888,-0.0197461368087799,-0.12666761700567,0.0182159272874834,0.0968927164751213,-0.0868603755181862
"PFT12_PVN_run2",0.0703494355593693,-0.000547648785595029,-0.033274583134692,0.0428496077559755,-0.0753696704504191,-0.040938628463621,-0.0998887232661856,-0.0384282314075705,0.0323072669849786,0.111967445807203,0.161134225494895,-0.0745296877796535,0.00978971287705221,-0.0482164509464397,-0.0296792957468919,-0.00255999151877723,0.101000670973562,-0.0179125998830074,-0.105091656761665,-0.0172719704039014,0.155341476371523,-0.070559735896306
"PFT12_TNA_run1",-0.0746328600901381,0.0829952560165035,0.0807945000078628,0.15348170250088,-0.0155939152280378,0.288194786415218,0.088713737253768,0.161055128173729,-0.168323232187777,-0.115108312404179,-0.093812927634013,-0.0962344582875982,0.019715044920204,0.0333451561402761,-0.0745638695759542,-0.0819672562913077,-0.132690116960877,-0.119477738455223,-0.0429861969622903,0.0270916014306698,0.0680927845303604,-0.140478223432507
"PFT12_VMH_run1",0.101833592585889,0.0251006142624941,-0.0216684468892695,0.0344759442329539,-0.0338601510401846,-0.0473391929825343,-0.0807935889495162,0.00641865781984612,0.0204000229410237,0.130696257081855,0.0586910231262479,-0.116758740050258,0.0352314976346423,-0.0593365758029212,-0.0221496267698415,-0.0183256900598297,0.0502759779611607,-0.0899955553514731,-0.141419155636978,0.0514052381603549,0.1216630088296,-0.106612384465464
"PFT2_AH_run2",0.0751841138845354,0.0224537153058329,0.0611654200700673,0.036491877447179,0.0908507516028449,-0.0205661519866214,-0.0732714587953,-0.0305149246548427,0.00758524720182935,0.0273899986897753,-0.0862457469607032,-0.090602772254121,-0.0526748486815643,-0.0526076181980972,-0.0381230016844528,0.113037053748077,0.0582489043015305,-0.0227575292193934,-0.0252463693024329,0.0131180455964692,-0.165080711886257,0.215427111194591
"PFT2_AI_run1",0.0341836535016321,0.169063258262616,0.077265469121964,0.00785548669001015,0.15110972106792,0.0148165698448183,0.140331853633162,0.195624106650123,-0.146924897994828,-0.0982875953074063,-0.122313856707868,-0.0344548644962904,0.0638338826731796,-0.0661524801312655,-0.0523565214752695,-0.101308097003595,-0.164895776311417,-0.143735080094157,-0.000732617735365699,-0.0926760866126503,-0.227862235675739,0.227280003452479
"PFT2_BSTm_run2",0.0194036245834011,-0.0133284681891853,-0.0157289556347853,0.026340305503117,0.13092528943553,-0.040235414219424,0.00586230302904234,0.0161183288345446,0.0342663582650918,0.0279994064247694,-0.0722317077167933,-0.0703777128468394,0.0567452511455871,0.0112729433320693,-0.0192861859732677,-0.0186626555510922,-0.0245621860000535,-0.0978790743247242,-0.0872385874114184,-0.104323151858499,-0.200267476954447,0.229394175115396
